generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§6380013000§20.967459§Chromosome(steinerPoints=[(7.2916083, 6.059326), (1.5878149, 6.1840053)], includedObstacleCornersIndices=set([7, 2, 3, 4, 5, 0, 6]))§667§0.18609698
2§2260000300§20.03747§Chromosome(steinerPoints=[(2.6787164, 3.1630497), (2.0068316, 3.961948), (6.71262, 6.382932)], includedObstacleCornersIndices=set([0, 4, 7, 5, 1, 2, 3]))§834§0.19322047
3§559999940§17.978786§Chromosome(steinerPoints=[(1.9746494, 3.9514081)], includedObstacleCornersIndices=set([4, 3, 0, 2]))§1000§0.1983093
4§240000030§17.71137§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([7, 5, 0, 2]))§1168§0.20254762
5§240000030§17.461222§Chromosome(steinerPoints=[(6.621089, 1.6187466), (2.8462272, 2.0672362)], includedObstacleCornersIndices=set([2, 0, 7]))§1335§0.20643438
6§200000030§16.116581§Chromosome(steinerPoints=[(5.748071, 6.522503), (7.613037, 5.555785)], includedObstacleCornersIndices=set([4, 5, 2]))§1505§0.20999071
7§320000030§16.062716§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([3, 4, 2, 5]))§1672§0.21339664
8§320000030§15.870492§Chromosome(steinerPoints=[(7.2916083, 6.059326)], includedObstacleCornersIndices=set([2, 4]))§1843§0.21671396
10§260000030§15.824736§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([4, 2]))§2182§0.22263324
15§739999740§15.685459§Chromosome(steinerPoints=[(5.749057, 6.9888854)], includedObstacleCornersIndices=set([2, 4]))§3039§0.236344
23§699999740§15.607243§Chromosome(steinerPoints=[(6.9449005, 2.0935225), (5.749057, 6.9888854)], includedObstacleCornersIndices=set([4, 2]))§4411§0.2537473
524§1299999400§15.607243§Chromosome(steinerPoints=[(5.749057, 6.9888854), (6.9449005, 2.0935225)], includedObstacleCornersIndices=set([2, 4]))§109481§1.7998526
