function evaluations§best§chromosome§runtime in seconds
2§2.262741§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§0.000153336
77§2.2531037§Chromosome(steinerPoints=[(0.5, 0.45773503)], includedObstacleCornersIndices=set([]))§0.002895367
12263§2.2437294§Chromosome(steinerPoints=[(0.49862093, 0.46379593), (0.5, 0.542265)], includedObstacleCornersIndices=set([]))§0.99282205
151455§2.2437294§Chromosome(steinerPoints=[(0.49862093, 0.46379593), (0.5, 0.542265)], includedObstacleCornersIndices=set([]))§8.540164
