function evaluations§best§chromosome§runtime in seconds
2§3.293423§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([4]))§0.001130474
30§3.226297§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([4, 3, 13, 2, 1, 6, 7, 14]))§0.005783087
34§3.1052182§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([14, 3, 13, 2, 1, 6, 7]))§0.006307401
37§3.0386496§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([14, 3, 13, 2, 1, 7]))§0.006719389
152§3.0307274§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([13, 14, 3, 10, 7]))§0.016740149
157§2.9970322§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([2, 14, 3, 10]))§0.01722112
12191§2.977572§Chromosome(steinerPoints=[(0.72473097, 0.11359743), (0.5650318, 0.113783374), (0.1376237, 0.12834434), (0.27427036, 0.9034808), (0.6849286, 0.15061457), (0.79099566, 0.016894497), (0.7902145, 0.09126289), (0.17710179, 0.048881702), (0.16392884, 0.2098208)], includedObstacleCornersIndices=set([3, 14]))§3.4637291
12239§2.9570637§Chromosome(steinerPoints=[(0.72473097, 0.11359743), (0.16392884, 0.2098208), (0.1376237, 0.12834434), (0.27427036, 0.9034808), (0.6849286, 0.15061457), (0.79099566, 0.016894497), (0.7902145, 0.09126289), (0.17710179, 0.048881702)], includedObstacleCornersIndices=set([3, 14]))§3.4717865
12246§2.950848§Chromosome(steinerPoints=[(0.72473097, 0.11359743), (0.16392884, 0.2098208), (0.1376237, 0.12834434), (0.27427036, 0.9034808), (0.6849286, 0.15061457), (0.79099566, 0.016894497), (0.17710179, 0.048881702), (0.8002899, 0.14485064)], includedObstacleCornersIndices=set([3, 14]))§3.472916
12270§2.949916§Chromosome(steinerPoints=[(0.8002899, 0.14485064), (0.16392884, 0.2098208), (0.1376237, 0.12834434), (0.27427036, 0.9034808), (0.6849286, 0.15061457), (0.79099566, 0.016894497), (0.17710179, 0.048881702)], includedObstacleCornersIndices=set([3, 14]))§3.4765253
12323§2.9254217§Chromosome(steinerPoints=[(0.8002899, 0.14485064), (0.16392884, 0.2098208), (0.1376237, 0.12834434), (0.27427036, 0.9034808), (0.6849286, 0.15061457), (0.79099566, 0.016894497)], includedObstacleCornersIndices=set([3, 14]))§3.4854121
12379§2.830957§Chromosome(steinerPoints=[(0.8002899, 0.14485064), (0.16392884, 0.2098208), (0.1376237, 0.12834434), (0.27427036, 0.9034808), (0.6849286, 0.15061457)], includedObstacleCornersIndices=set([3, 14]))§3.492796
12457§2.8255496§Chromosome(steinerPoints=[(0.8002899, 0.14485064), (0.16392884, 0.2098208), (0.1376237, 0.12834434), (0.27427036, 0.9034808), (0.6849286, 0.15061457), (0.81878525, 0.16118999)], includedObstacleCornersIndices=set([3, 14]))§3.5030324
12486§2.8216612§Chromosome(steinerPoints=[(0.8002899, 0.14485064), (0.16392884, 0.2098208), (0.81878525, 0.16118999), (0.27427036, 0.9034808), (0.6849286, 0.15061457), (0.03913325, 0.47613275)], includedObstacleCornersIndices=set([3, 14]))§3.5078433
12574§2.8194015§Chromosome(steinerPoints=[(0.03913325, 0.47613275), (0.16392884, 0.2098208), (0.81878525, 0.16118999), (0.27427036, 0.9034808), (0.6849286, 0.15061457), (0.15599938, 0.12384212), (0.09678422, 0.8719702)], includedObstacleCornersIndices=set([3, 14]))§3.519774
12693§2.8180118§Chromosome(steinerPoints=[(0.09678422, 0.8719702), (0.16392884, 0.2098208), (0.81878525, 0.16118999), (0.27427036, 0.9034808), (0.6849286, 0.15061457), (0.15599938, 0.12384212), (0.30010015, 0.03954552)], includedObstacleCornersIndices=set([3, 14]))§3.5359411
12742§2.8169084§Chromosome(steinerPoints=[(0.09678422, 0.8719702), (0.16392884, 0.2098208), (0.81878525, 0.16118999), (0.27427036, 0.9034808), (0.6849286, 0.15061457), (0.15599938, 0.12384212), (0.30010015, 0.03954552), (0.17252496, 0.20210153)], includedObstacleCornersIndices=set([3, 14]))§3.5451584
12762§2.8149185§Chromosome(steinerPoints=[(0.09678422, 0.8719702), (0.16392884, 0.2098208), (0.81878525, 0.16118999), (0.27427036, 0.9034808), (0.6849286, 0.15061457), (0.15599938, 0.12384212), (0.30010015, 0.03954552), (0.17252496, 0.20210153), (0.7493541, 0.11702233)], includedObstacleCornersIndices=set([3, 14]))§3.548591
