function evaluations§best§chromosome§runtime in seconds
2§2.0642676§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§0.000428685
5§1.9703411§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([3]))§0.001186064
195§1.932755§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([10, 3, 2, 6]))§0.014687522
266§1.9126768§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([3, 2, 11, 6, 10]))§0.016286178
337§1.9096925§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([8, 9, 3, 4]))§0.018117275
507§1.8482716§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([3, 11, 10, 6]))§0.02281528
517§1.8473644§Chromosome(steinerPoints=[(0.80919474, 0.82250214)], includedObstacleCornersIndices=set([3, 11, 6, 10]))§0.02318556
11962§1.8451401§Chromosome(steinerPoints=[(0.80919474, 0.82250214), (0.80314595, 0.45903394), (0.7940522, 0.5494009), (0.7616055, 0.51302916)], includedObstacleCornersIndices=set([10, 4]))§0.73036
11971§1.8269012§Chromosome(steinerPoints=[(0.80919474, 0.82250214), (0.80314595, 0.45903394), (0.7940522, 0.5494009), (0.7616055, 0.51302916)], includedObstacleCornersIndices=set([10, 4, 11]))§0.7309843
12013§1.8239057§Chromosome(steinerPoints=[(0.80919474, 0.82250214), (0.7616055, 0.51302916), (0.7940522, 0.5494009)], includedObstacleCornersIndices=set([10, 4, 11, 3]))§0.732762
12142§1.8234141§Chromosome(steinerPoints=[(0.80919474, 0.82250214), (0.79920423, 0.7341516)], includedObstacleCornersIndices=set([3, 4, 11, 10]))§0.73747337
12159§1.8168572§Chromosome(steinerPoints=[(0.80919474, 0.82250214), (0.79920423, 0.7341516), (0.741049, 0.500533)], includedObstacleCornersIndices=set([3, 4, 11, 10]))§0.7380866
12168§1.8147793§Chromosome(steinerPoints=[(0.80919474, 0.82250214), (0.79920423, 0.7341516), (0.741049, 0.500533)], includedObstacleCornersIndices=set([3, 4, 11]))§0.7384724
12242§1.8095683§Chromosome(steinerPoints=[(0.80919474, 0.82250214), (0.79920423, 0.7341516), (0.741049, 0.500533), (0.7866664, 0.8034244)], includedObstacleCornersIndices=set([3, 4, 11]))§0.7408316
12254§1.8050195§Chromosome(steinerPoints=[(0.80919474, 0.82250214), (0.7866664, 0.8034244), (0.741049, 0.500533)], includedObstacleCornersIndices=set([3, 4, 11]))§0.74142367
12333§1.8031129§Chromosome(steinerPoints=[(0.741049, 0.500533), (0.7866664, 0.8034244), (0.7600797, 0.49956775)], includedObstacleCornersIndices=set([3, 4, 11]))§0.74366856
12496§1.8027685§Chromosome(steinerPoints=[(0.7600797, 0.49956775), (0.7866664, 0.8034244), (0.8632332, 0.6591656)], includedObstacleCornersIndices=set([3, 4, 11]))§0.7487018
12498§1.801488§Chromosome(steinerPoints=[(0.7600797, 0.49956775), (0.7866664, 0.8034244), (0.8632332, 0.6591656), (0.79756707, 0.80239964)], includedObstacleCornersIndices=set([3, 4, 11]))§0.74890935
12568§1.8011624§Chromosome(steinerPoints=[(0.7600797, 0.49956775), (0.79756707, 0.80239964), (0.8632332, 0.6591656)], includedObstacleCornersIndices=set([3, 4, 11]))§0.75199586
13010§1.7991471§Chromosome(steinerPoints=[(0.7600797, 0.49956775), (0.8632332, 0.6591656), (0.48169026, 0.45771176)], includedObstacleCornersIndices=set([3, 4, 11]))§0.7670531
13122§1.7988234§Chromosome(steinerPoints=[(0.7600797, 0.49956775), (0.8632332, 0.6591656)], includedObstacleCornersIndices=set([3, 4, 11]))§0.7715916
13298§1.7970333§Chromosome(steinerPoints=[(0.7600797, 0.49956775), (0.8632332, 0.6591656), (0.87436503, 0.6717591)], includedObstacleCornersIndices=set([3, 4, 11]))§0.77597827
13323§1.79682§Chromosome(steinerPoints=[(0.7600797, 0.49956775), (0.87436503, 0.6717591), (0.817919, 0.83156747)], includedObstacleCornersIndices=set([3, 4]))§0.7769353
57137§1.7961742§Chromosome(steinerPoints=[(0.7600797, 0.49956775), (0.817919, 0.83156747), (0.89782023, 0.6580631), (0.886416, 0.6597203)], includedObstacleCornersIndices=set([3, 4]))§2.033116
166860§1.7955688§Chromosome(steinerPoints=[(0.886416, 0.6597203), (0.77030784, 0.48755166)], includedObstacleCornersIndices=set([3, 4]))§4.5231166
306052§1.7955688§Chromosome(steinerPoints=[(0.886416, 0.6597203), (0.77030784, 0.48755166)], includedObstacleCornersIndices=set([3, 4]))§7.5219975
