function evaluations§best§chromosome§runtime in seconds
2§3.2823868§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 7]))§0.000756387
3§3.203937§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 7, 17]))§0.000946312
4§3.1448288§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 7, 17, 15]))§0.001153998
6§3.115725§Chromosome(steinerPoints=[(0.5261379, 0.415578)], includedObstacleCornersIndices=set([0, 7, 17, 15, 4, 19]))§0.00165492
27§3.0545893§Chromosome(steinerPoints=[(0.5261379, 0.415578)], includedObstacleCornersIndices=set([16, 7, 17, 3, 4, 19, 6, 5, 1, 9, 8, 10]))§0.004518132
32§3.0213027§Chromosome(steinerPoints=[(0.5261379, 0.415578)], includedObstacleCornersIndices=set([16, 7, 17, 3, 4, 10, 6, 5, 1, 9, 8]))§0.00500013
33§2.9550266§Chromosome(steinerPoints=[(0.5261379, 0.415578)], includedObstacleCornersIndices=set([16, 7, 9, 8, 4, 10, 6, 5, 1]))§0.005175806
34§2.9022682§Chromosome(steinerPoints=[(0.5261379, 0.415578)], includedObstacleCornersIndices=set([1, 7, 9, 8, 4, 10, 6, 5]))§0.005316665
39§2.8687901§Chromosome(steinerPoints=[(0.5261379, 0.415578)], includedObstacleCornersIndices=set([1, 5, 9, 8, 4, 10, 6, 15, 13]))§0.00586285
41§2.7670221§Chromosome(steinerPoints=[(0.5261379, 0.415578)], includedObstacleCornersIndices=set([1, 5, 9, 8, 4, 10, 6, 15, 13, 7]))§0.006112007
42§2.760316§Chromosome(steinerPoints=[(0.5261379, 0.415578)], includedObstacleCornersIndices=set([1, 3, 9, 8, 4, 10, 6, 15, 13, 7]))§0.006287749
13064§2.6802366§Chromosome(steinerPoints=[(0.50882494, 0.5264178)], includedObstacleCornersIndices=set([4, 13, 9, 5, 8, 7, 12, 1]))§2.2887082
13065§2.6030354§Chromosome(steinerPoints=[(0.50882494, 0.5264178)], includedObstacleCornersIndices=set([4, 13, 1, 5, 8, 7, 12]))§2.28887
14686§2.60103§Chromosome(steinerPoints=[(0.9024735, 0.8607145), (0.75918627, 0.7648099), (0.5412111, 0.3600465)], includedObstacleCornersIndices=set([13, 1, 9, 17, 7, 10, 6, 18]))§2.4878087
14690§2.5759263§Chromosome(steinerPoints=[(0.9024735, 0.8607145), (0.75918627, 0.7648099), (0.74660957, 0.30117306)], includedObstacleCornersIndices=set([13, 1, 9, 17, 7, 10, 6, 18, 8]))§2.4884899
14694§2.5610564§Chromosome(steinerPoints=[(0.9024735, 0.8607145), (0.75918627, 0.7648099), (0.74660957, 0.30117306)], includedObstacleCornersIndices=set([13, 1, 9, 8, 7, 10, 4, 18]))§2.4890609
14699§2.544355§Chromosome(steinerPoints=[(0.9024735, 0.8607145), (0.75918627, 0.7648099), (0.74660957, 0.30117306)], includedObstacleCornersIndices=set([13, 1, 9, 8, 7, 10, 4]))§2.489588
17545§2.5073588§Chromosome(steinerPoints=[(0.4916606, 0.39144775), (0.4713219, 0.41446498)], includedObstacleCornersIndices=set([13, 9, 1, 10]))§2.9195416
19980§2.5062985§Chromosome(steinerPoints=[(0.4920841, 0.43846285), (0.37328535, 0.35522497), (0.527033, 0.41180995), (0.7636045, 0.25109905), (0.6269053, 0.58941424)], includedObstacleCornersIndices=set([9, 8, 1, 13, 18]))§3.2760725
19993§2.4929512§Chromosome(steinerPoints=[(0.4920841, 0.43846285), (0.37328535, 0.35522497), (0.527033, 0.41180995), (0.7636045, 0.25109905), (0.6269053, 0.58941424)], includedObstacleCornersIndices=set([9, 8, 1, 13, 7]))§3.2774096
23401§2.4909546§Chromosome(steinerPoints=[(0.62137, 0.40278178), (0.49313855, 0.4403734), (0.32372326, 0.29725897)], includedObstacleCornersIndices=set([9, 1, 10, 13, 8, 7]))§3.6852074
24537§2.4805346§Chromosome(steinerPoints=[(0.62137, 0.40278178), (0.49313855, 0.4403734)], includedObstacleCornersIndices=set([9, 1, 10, 13, 8, 7]))§3.797814
24661§2.480048§Chromosome(steinerPoints=[(0.62137, 0.40278178), (0.49313855, 0.4403734), (0.6080328, 0.5982756)], includedObstacleCornersIndices=set([9, 1, 10, 13, 8, 7]))§3.8080623
163853§2.480048§Chromosome(steinerPoints=[(0.62137, 0.40278178), (0.49313855, 0.4403734), (0.6080328, 0.5982756)], includedObstacleCornersIndices=set([9, 1, 10, 13, 8, 7]))§16.357658
