generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§3.5519457§3.1028025§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([3]))§674§0.9247401
3§3.3081245§3.1007895§Chromosome(steinerPoints=[(0.72322845, 0.5965917)], includedObstacleCornersIndices=set([15]))§1009§0.9692099
5§3.2195327§3.0990033§Chromosome(steinerPoints=[(0.9598286, 0.7866192)], includedObstacleCornersIndices=set([8]))§1347§1.0117118
6§3.1969228§3.0905237§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([15, 16, 28]))§1516§1.0327669
8§3.1698422§3.0804243§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([15, 16, 28, 8]))§1855§1.0736251
9§3.1574779§3.0774503§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([15, 16, 3]))§2023§1.0955784
13§3.1476026§3.0657136§Chromosome(steinerPoints=[(0.92620015, 0.7700452)], includedObstacleCornersIndices=set([3, 15, 16, 8]))§2701§1.177784
15§3.1341965§3.0602348§Chromosome(steinerPoints=[(0.9598286, 0.7866192)], includedObstacleCornersIndices=set([3, 8, 6, 15, 16, 28]))§3039§1.2203673
16§3.1374376§3.0547712§Chromosome(steinerPoints=[(0.9598286, 0.7866192), (0.72436714, 0.50475633)], includedObstacleCornersIndices=set([16, 15, 8, 3]))§3209§1.2438331
21§3.1118288§3.0506244§Chromosome(steinerPoints=[(0.72322845, 0.5965917)], includedObstacleCornersIndices=set([8, 3, 15, 16]))§4059§1.3611356
22§3.1033535§3.0435638§Chromosome(steinerPoints=[(0.9598286, 0.7866192), (0.72322845, 0.5965917)], includedObstacleCornersIndices=set([8, 15, 16, 3]))§4229§1.387806
27§3.0966694§3.041167§Chromosome(steinerPoints=[(0.9598286, 0.7866192), (0.41409504, 0.91810524), (0.72322845, 0.5965917)], includedObstacleCornersIndices=set([8, 28, 3, 16, 15]))§5087§1.5246537
32§3.0978675§3.038045§Chromosome(steinerPoints=[(0.72322845, 0.5965917), (0.72436714, 0.50475633), (0.9598286, 0.7866192)], includedObstacleCornersIndices=set([3, 15, 16, 8]))§5954§1.6755965
36§3.0804787§3.035648§Chromosome(steinerPoints=[(0.9598286, 0.7866192), (0.72322845, 0.5965917), (0.41409504, 0.91810524), (0.72436714, 0.50475633)], includedObstacleCornersIndices=set([8, 3, 15, 16, 28]))§6643§1.8002923
46§3.070654§3.0347898§Chromosome(steinerPoints=[(0.9598286, 0.7866192), (0.72322845, 0.5965917), (0.72436714, 0.50475633), (0.41409504, 0.91810524), (0.40292615, 0.89031357)], includedObstacleCornersIndices=set([8, 15, 28, 16]))§8389§2.1475005
547§3.056691§3.0346675§Chromosome(steinerPoints=[(0.40292615, 0.89031357), (0.72322845, 0.5965917), (0.72436714, 0.50475633), (0.9598286, 0.7866192)], includedObstacleCornersIndices=set([15, 16, 8, 28]))§114630§20.8284
