generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§3.6927166§3.1028025§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([3]))§676§0.64470357
2§3.5033662§3.0908113§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([16, 15]))§844§0.6590224
4§3.3330197§3.0807118§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([16, 15, 8]))§1181§0.68444985
7§3.2067542§3.0673506§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([8, 15, 3, 16]))§1684§0.7217651
12§3.1319005§3.060724§Chromosome(steinerPoints=[(0.72322845, 0.5965917)], includedObstacleCornersIndices=set([3, 16, 15]))§2533§0.7799791
15§3.1262312§3.055143§Chromosome(steinerPoints=[(0.72322845, 0.5965917)], includedObstacleCornersIndices=set([8, 3, 20, 16, 28, 15]))§3040§0.81838304
16§3.1174686§3.0496244§Chromosome(steinerPoints=[(0.72322845, 0.5965917), (0.72436714, 0.50475633)], includedObstacleCornersIndices=set([16, 28, 15, 3, 8, 20]))§3211§0.83193463
21§3.1004572§3.0475402§Chromosome(steinerPoints=[(0.3977725, 0.89180285), (0.72322845, 0.5965917)], includedObstacleCornersIndices=set([16, 15, 8]))§4073§0.9025945
24§3.0993335§3.0435638§Chromosome(steinerPoints=[(0.72322845, 0.5965917), (0.9598286, 0.7866192)], includedObstacleCornersIndices=set([16, 8, 15, 3]))§4585§0.9458953
31§3.0899777§3.0414546§Chromosome(steinerPoints=[(0.9598286, 0.7866192), (0.72322845, 0.5965917), (0.41409504, 0.91810524)], includedObstacleCornersIndices=set([8, 15, 16, 3]))§5787§1.0663823
34§3.0874383§3.0377574§Chromosome(steinerPoints=[(0.72322845, 0.5965917), (0.9598286, 0.7866192), (0.72436714, 0.50475633)], includedObstacleCornersIndices=set([3, 16, 28, 15, 8]))§6311§1.126203
40§3.0853782§3.0349605§Chromosome(steinerPoints=[(0.3977725, 0.89180285), (0.72322845, 0.5965917), (0.9598286, 0.7866192), (0.72436714, 0.50475633)], includedObstacleCornersIndices=set([16, 15, 8]))§7341§1.2522129
541§3.0574348§3.034673§Chromosome(steinerPoints=[(0.9598286, 0.7866192), (0.72322845, 0.5965917), (0.72436714, 0.50475633), (0.3977725, 0.89180285)], includedObstacleCornersIndices=set([8, 16, 15, 28]))§113652§13.8977995
