generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§3.5180244§3.1028025§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([3]))§672§0.58819413
3§3.268107§3.091044§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([6, 15, 16]))§1009§0.6100029
6§3.1681554§3.0837507§Chromosome(steinerPoints=[(0.9598286, 0.7866192)], includedObstacleCornersIndices=set([16, 15]))§1519§0.65461314
9§3.1475527§3.0807118§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([8, 16, 15]))§2030§0.6904272
12§3.136804§3.0771625§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([16, 15, 3, 28]))§2539§0.72294503
13§3.1323643§3.0673506§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([3, 8, 16, 15]))§2709§0.7346284
14§3.133313§3.0669694§Chromosome(steinerPoints=[(0.72322845, 0.5965917), (0.9598286, 0.7866192)], includedObstacleCornersIndices=set([16, 15, 28, 6]))§2878§0.7467992
15§3.123745§3.0506244§Chromosome(steinerPoints=[(0.72322845, 0.5965917)], includedObstacleCornersIndices=set([8, 3, 15, 16]))§3049§0.7586657
19§3.119381§3.0451057§Chromosome(steinerPoints=[(0.72322845, 0.5965917), (0.72436714, 0.50475633)], includedObstacleCornersIndices=set([15, 16, 3, 8]))§3731§0.81012493
24§3.1029022§3.0447347§Chromosome(steinerPoints=[(0.72865844, 0.6079824), (0.9598286, 0.7866192)], includedObstacleCornersIndices=set([16, 15, 3, 8]))§4587§0.87998587
25§3.0985978§3.0435638§Chromosome(steinerPoints=[(0.72322845, 0.5965917), (0.9598286, 0.7866192)], includedObstacleCornersIndices=set([8, 3, 16, 15]))§4756§0.8959523
27§3.1013722§3.0414546§Chromosome(steinerPoints=[(0.72322845, 0.5965917), (0.9598286, 0.7866192), (0.41409504, 0.91810524)], includedObstacleCornersIndices=set([3, 15, 16, 8]))§5096§0.92657155
30§3.0866337§3.038045§Chromosome(steinerPoints=[(0.9598286, 0.7866192), (0.72322845, 0.5965917), (0.72436714, 0.50475633)], includedObstacleCornersIndices=set([8, 16, 15, 3]))§5618§0.97423995
38§3.0782855§3.0359359§Chromosome(steinerPoints=[(0.41409504, 0.91810524), (0.72322845, 0.5965917), (0.72436714, 0.50475633), (0.9598286, 0.7866192)], includedObstacleCornersIndices=set([15, 3, 16, 8]))§6996§1.1119208
40§3.0756662§3.0349605§Chromosome(steinerPoints=[(0.72322845, 0.5965917), (0.72436714, 0.50475633), (0.9598286, 0.7866192), (0.3977725, 0.89180285)], includedObstacleCornersIndices=set([8, 15, 16]))§7343§1.1484622
541§3.0599058§3.034673§Chromosome(steinerPoints=[(0.3977725, 0.89180285), (0.9598286, 0.7866192), (0.72436714, 0.50475633), (0.72322845, 0.5965917)], includedObstacleCornersIndices=set([28, 15, 16, 8]))§113421§13.196243
