generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§3.5726063§3.1028025§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([3]))§668§1.1069267
2§3.3988907§3.0927026§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([3, 8]))§837§1.1306403
4§3.2697363§3.0908113§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([15, 16]))§1172§1.1743574
6§3.1995056§3.0672956§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([15, 16, 3, 28, 8, 6]))§1509§1.2157961
9§3.1462178§3.0642111§Chromosome(steinerPoints=[(0.3977725, 0.89180285)], includedObstacleCornersIndices=set([6, 8, 28, 15, 16]))§2023§1.2769651
12§3.1338563§3.0636978§Chromosome(steinerPoints=[(0.72322845, 0.5965917)], includedObstacleCornersIndices=set([15, 16, 28, 8]))§2530§1.3282499
14§3.1345918§3.0615442§Chromosome(steinerPoints=[(0.72436714, 0.50475633)], includedObstacleCornersIndices=set([3, 15, 16, 28, 8]))§2870§1.373336
15§3.1232789§3.0503368§Chromosome(steinerPoints=[(0.72322845, 0.5965917)], includedObstacleCornersIndices=set([8, 15, 16, 3, 28]))§3041§1.3967052
21§3.1040606§3.0472524§Chromosome(steinerPoints=[(0.3977725, 0.89180285), (0.72322845, 0.5965917)], includedObstacleCornersIndices=set([28, 15, 16, 8]))§4062§1.5493304
24§3.0941372§3.043276§Chromosome(steinerPoints=[(0.72322845, 0.5965917), (0.9598286, 0.7866192)], includedObstacleCornersIndices=set([28, 15, 16, 3, 8]))§4575§1.6323745
27§3.092699§3.0404794§Chromosome(steinerPoints=[(0.72322845, 0.5965917), (0.3977725, 0.89180285), (0.9598286, 0.7866192)], includedObstacleCornersIndices=set([8, 15, 16]))§5090§1.7201259
32§3.0887413§3.035648§Chromosome(steinerPoints=[(0.9598286, 0.7866192), (0.41409504, 0.91810524), (0.72322845, 0.5965917), (0.72436714, 0.50475633)], includedObstacleCornersIndices=set([8, 28, 15, 16, 3]))§5947§1.8168159
36§3.0806897§3.034673§Chromosome(steinerPoints=[(0.9598286, 0.7866192), (0.3977725, 0.89180285), (0.72322845, 0.5965917), (0.72436714, 0.50475633)], includedObstacleCornersIndices=set([8, 16, 28, 15]))§6638§1.9024334
198§3.0664878§3.0332594§Chromosome(steinerPoints=[(0.72322845, 0.5965917), (0.3977725, 0.89180285), (0.9598286, 0.7866192), (0.7354675, 0.5189133)], includedObstacleCornersIndices=set([28, 15, 16, 8]))§36891§7.700088
699§3.05575§3.0332594§Chromosome(steinerPoints=[(0.3977725, 0.89180285), (0.9598286, 0.7866192), (0.72322845, 0.5965917), (0.7354675, 0.5189133)], includedObstacleCornersIndices=set([28, 16, 15, 8]))§150105§28.681803
