generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§3.7114964§3.091044§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([6, 15, 16]))§674§0.70598745
7§3.1948006§3.0807118§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([8, 15, 16]))§1684§0.7774192
12§3.1461647§3.0762088§Chromosome(steinerPoints=[(0.72322845, 0.5965917)], includedObstacleCornersIndices=set([6, 8, 3]))§2533§0.8407461
13§3.133422§3.07403§Chromosome(steinerPoints=[(0.72322845, 0.5965917)], includedObstacleCornersIndices=set([6, 15, 16, 28]))§2699§0.86413604
14§3.1356819§3.0639305§Chromosome(steinerPoints=[(0.72322845, 0.5965917)], includedObstacleCornersIndices=set([8, 6, 15, 16, 28]))§2869§0.88664263
16§3.1304586§3.056235§Chromosome(steinerPoints=[(0.72322845, 0.5965917), (0.92620015, 0.7700452), (0.3977725, 0.89180285)], includedObstacleCornersIndices=set([15, 16, 6]))§3205§0.9277645
17§3.126571§3.0508568§Chromosome(steinerPoints=[(0.72322845, 0.5965917)], includedObstacleCornersIndices=set([6, 8, 3, 15, 16]))§3377§0.9418422
19§3.1127653§3.0477726§Chromosome(steinerPoints=[(0.72322845, 0.5965917), (0.3977725, 0.89180285)], includedObstacleCornersIndices=set([6, 8, 15, 16]))§3716§0.968463
24§3.0948045§3.0429964§Chromosome(steinerPoints=[(0.72322845, 0.5965917), (0.41409504, 0.91810524), (0.72436714, 0.50475633)], includedObstacleCornersIndices=set([8, 15, 16, 3]))§4578§1.0428325
27§3.0898497§3.0407119§Chromosome(steinerPoints=[(0.72322845, 0.5965917), (0.3977725, 0.89180285), (0.9598286, 0.7866192)], includedObstacleCornersIndices=set([15, 16, 8, 6]))§5087§1.0913638
32§3.0841384§3.0355344§Chromosome(steinerPoints=[(0.9598286, 0.7866192), (0.72322845, 0.5965917), (0.73080343, 0.5308269), (0.3977725, 0.89180285)], includedObstacleCornersIndices=set([8, 15, 16]))§5955§1.1761575
38§3.086641§3.034673§Chromosome(steinerPoints=[(0.3977725, 0.89180285), (0.72322845, 0.5965917), (0.72436714, 0.50475633), (0.9598286, 0.7866192)], includedObstacleCornersIndices=set([16, 15, 28, 8]))§6994§1.2959974
539§3.0587535§3.034673§Chromosome(steinerPoints=[(0.3977725, 0.89180285), (0.72322845, 0.5965917), (0.72436714, 0.50475633), (0.9598286, 0.7866192)], includedObstacleCornersIndices=set([28, 16, 15, 8]))§112922§16.554495
