generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§3.702311§3.1084933§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([14, 15, 16, 3]))§671§0.99103737
2§3.5128858§3.0983937§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([14, 15, 16, 3, 8]))§839§1.0174699
3§3.3935444§3.0908113§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([15, 16]))§1006§1.0421323
4§3.3162124§3.0804243§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([8, 28, 15, 16]))§1173§1.0659391
5§3.267954§3.0774503§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([3, 15, 16]))§1341§1.0899372
8§3.1774366§3.0673506§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([15, 16, 3, 8]))§1844§1.1544476
12§3.1292193§3.0657136§Chromosome(steinerPoints=[(0.92620015, 0.7700452)], includedObstacleCornersIndices=set([16, 15, 3, 8]))§2523§1.2421746
13§3.1284053§3.0618317§Chromosome(steinerPoints=[(0.72436714, 0.50475633)], includedObstacleCornersIndices=set([8, 15, 16, 3]))§2697§1.266788
15§3.1206353§3.0609565§Chromosome(steinerPoints=[(0.72322845, 0.5965917)], includedObstacleCornersIndices=set([15, 16, 3, 6]))§3043§1.3333298
16§3.1190407§3.0556312§Chromosome(steinerPoints=[(0.6872314, 0.53573745)], includedObstacleCornersIndices=set([8, 15, 16, 3]))§3214§1.3588428
20§3.1067367§3.0508568§Chromosome(steinerPoints=[(0.72322845, 0.5965917)], includedObstacleCornersIndices=set([3, 6, 15, 16, 8]))§3889§1.4575405
23§3.1051264§3.0435638§Chromosome(steinerPoints=[(0.9598286, 0.7866192), (0.72322845, 0.5965917)], includedObstacleCornersIndices=set([3, 15, 16, 8]))§4405§1.5375499
28§3.1019068§3.0407119§Chromosome(steinerPoints=[(0.72322845, 0.5965917), (0.3977725, 0.89180285), (0.9598286, 0.7866192)], includedObstacleCornersIndices=set([8, 6, 15, 16]))§5263§1.6771858
29§3.0962656§3.0377574§Chromosome(steinerPoints=[(0.9598286, 0.7866192), (0.72322845, 0.5965917), (0.72436714, 0.50475633)], includedObstacleCornersIndices=set([28, 15, 16, 3, 8]))§5436§1.70666
33§3.0863748§3.0359359§Chromosome(steinerPoints=[(0.41409504, 0.91810524), (0.9598286, 0.7866192), (0.72322845, 0.5965917), (0.72436714, 0.50475633)], includedObstacleCornersIndices=set([16, 3, 15, 8]))§6129§1.8251439
37§3.0837774§3.0349605§Chromosome(steinerPoints=[(0.3977725, 0.89180285), (0.9598286, 0.7866192), (0.72322845, 0.5965917), (0.72436714, 0.50475633)], includedObstacleCornersIndices=set([15, 16, 8]))§6826§1.9494282
538§3.060713§3.034673§Chromosome(steinerPoints=[(0.9598286, 0.7866192), (0.3977725, 0.89180285), (0.72436714, 0.50475633), (0.72322845, 0.5965917)], includedObstacleCornersIndices=set([8, 28, 15, 16]))§112701§21.980127
