generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§3.5641916§3.0927026§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([3, 8]))§672§0.9984341
7§3.1647716§3.0900807§Chromosome(steinerPoints=[(0.73080343, 0.5308269)], includedObstacleCornersIndices=set([3, 6, 8]))§1682§1.114911
10§3.1462433§3.0812154§Chromosome(steinerPoints=[(0.6872314, 0.53573745)], includedObstacleCornersIndices=set([6, 8, 3]))§2187§1.1732827
12§3.134631§3.0797746§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([8, 3, 20, 15, 16]))§2525§1.213033
14§3.1300805§3.0673506§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([8, 3, 15, 16]))§2865§1.2543421
16§3.1254637§3.0647287§Chromosome(steinerPoints=[(0.73080343, 0.5308269)], includedObstacleCornersIndices=set([3, 15, 16, 6, 8]))§3201§1.2959623
19§3.1230946§3.0558636§Chromosome(steinerPoints=[(0.6872314, 0.53573745)], includedObstacleCornersIndices=set([3, 6, 8, 15, 16]))§3720§1.3643788
20§3.127941§3.0506244§Chromosome(steinerPoints=[(0.72322845, 0.5965917)], includedObstacleCornersIndices=set([3, 15, 16, 8]))§3890§1.3879875
24§3.1105416§3.0488029§Chromosome(steinerPoints=[(0.6872314, 0.53573745), (0.9598286, 0.7866192)], includedObstacleCornersIndices=set([8, 6, 3, 15, 16]))§4572§1.488317
25§3.1042912§3.0435638§Chromosome(steinerPoints=[(0.72322845, 0.5965917), (0.9598286, 0.7866192)], includedObstacleCornersIndices=set([15, 16, 3, 8]))§4743§1.51533
29§3.0974934§3.0414546§Chromosome(steinerPoints=[(0.72322845, 0.5965917), (0.41409504, 0.91810524), (0.9598286, 0.7866192)], includedObstacleCornersIndices=set([16, 3, 15, 8]))§5430§1.6246934
37§3.0865483§3.0377574§Chromosome(steinerPoints=[(0.9598286, 0.7866192), (0.72322845, 0.5965917), (0.72436714, 0.50475633)], includedObstacleCornersIndices=set([8, 3, 16, 15, 28]))§6812§1.8597561
39§3.092705§3.0359359§Chromosome(steinerPoints=[(0.9598286, 0.7866192), (0.72322845, 0.5965917), (0.72436714, 0.50475633), (0.41409504, 0.91810524)], includedObstacleCornersIndices=set([8, 3, 15, 16]))§7162§1.927028
44§3.087252§3.035568§Chromosome(steinerPoints=[(0.9598286, 0.7866192), (0.72322845, 0.5965917), (0.72436714, 0.50475633), (0.41409504, 0.91810524)], includedObstacleCornersIndices=set([8, 28, 16, 15]))§8029§2.0887027
53§3.0814974§3.0347898§Chromosome(steinerPoints=[(0.41409504, 0.91810524), (0.40292615, 0.89031357), (0.9598286, 0.7866192), (0.72322845, 0.5965917), (0.72436714, 0.50475633)], includedObstacleCornersIndices=set([15, 28, 16, 8]))§9612§2.3958714
554§3.0609763§3.0346675§Chromosome(steinerPoints=[(0.72322845, 0.5965917), (0.72436714, 0.50475633), (0.9598286, 0.7866192), (0.40292615, 0.89031357)], includedObstacleCornersIndices=set([28, 16, 15, 8]))§116607§19.469069
