generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§3.6818485§3.1158757§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([28]))§667§1.0214744
2§3.4724543§3.1028025§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([3]))§837§1.0460712
3§3.3757014§3.0908113§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([16, 15]))§1009§1.0702337
6§3.2351868§3.0809445§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([6, 8, 15, 16]))§1514§1.1336007
10§3.1536775§3.0793242§Chromosome(steinerPoints=[(0.6872314, 0.53573745)], includedObstacleCornersIndices=set([6, 15, 16]))§2188§1.2236667
11§3.1457517§3.0774503§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([16, 15, 3]))§2359§1.2457243
13§3.1369433§3.0759764§Chromosome(steinerPoints=[(0.72322845, 0.5965917)], includedObstacleCornersIndices=set([8, 3]))§2697§1.287097
15§3.1349888§3.067063§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([15, 16, 28, 3, 8]))§3038§1.3304377
16§3.128909§3.0604362§Chromosome(steinerPoints=[(0.72322845, 0.5965917)], includedObstacleCornersIndices=set([16, 15, 3, 28]))§3210§1.3529441
17§3.1238499§3.0556312§Chromosome(steinerPoints=[(0.6872314, 0.53573745)], includedObstacleCornersIndices=set([16, 15, 3, 8]))§3378§1.3754028
18§3.1234527§3.0506244§Chromosome(steinerPoints=[(0.72322845, 0.5965917)], includedObstacleCornersIndices=set([16, 15, 8, 3]))§3546§1.3989725
20§3.1211565§3.0486996§Chromosome(steinerPoints=[(0.92620015, 0.7700452), (0.72322845, 0.5965917)], includedObstacleCornersIndices=set([3, 16, 15, 8, 28]))§3884§1.4551598
28§3.1003652§3.0437963§Chromosome(steinerPoints=[(0.72322845, 0.5965917), (0.9598286, 0.7866192)], includedObstacleCornersIndices=set([8, 6, 16, 15, 3]))§5247§1.6947016
33§3.0862772§3.0404794§Chromosome(steinerPoints=[(0.3977725, 0.89180285), (0.9598286, 0.7866192), (0.72322845, 0.5965917)], includedObstacleCornersIndices=set([15, 16, 8]))§6108§1.8637784
36§3.0867307§3.034673§Chromosome(steinerPoints=[(0.9598286, 0.7866192), (0.72322845, 0.5965917), (0.3977725, 0.89180285), (0.72436714, 0.50475633)], includedObstacleCornersIndices=set([8, 28, 15, 16]))§6637§1.9548082
537§3.0582957§3.034673§Chromosome(steinerPoints=[(0.3977725, 0.89180285), (0.9598286, 0.7866192), (0.72322845, 0.5965917), (0.72436714, 0.50475633)], includedObstacleCornersIndices=set([15, 16, 8, 28]))§112269§17.671057
