generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§3.547481§3.103035§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([6, 3]))§676§1.0804017
4§3.2175956§3.092935§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([3, 6, 8]))§1177§1.142465
5§3.1855311§3.0908113§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([15, 16]))§1347§1.1635425
7§3.15257§3.0863085§Chromosome(steinerPoints=[(0.72322845, 0.5965917)], includedObstacleCornersIndices=set([3, 6]))§1684§1.2037029
8§3.1499298§3.0754886§Chromosome(steinerPoints=[(0.72865844, 0.6079824)], includedObstacleCornersIndices=set([15, 6, 16]))§1852§1.2248359
14§3.136351§3.0602899§Chromosome(steinerPoints=[(0.9598286, 0.7866192)], includedObstacleCornersIndices=set([15, 16, 3, 8]))§2869§1.3480088
17§3.1297421§3.052028§Chromosome(steinerPoints=[(0.72865844, 0.6079824)], includedObstacleCornersIndices=set([3, 15, 16, 6, 8]))§3376§1.4141093
21§3.1213233§3.0505693§Chromosome(steinerPoints=[(0.72322845, 0.5965917)], includedObstacleCornersIndices=set([3, 15, 16, 28, 6, 8]))§4060§1.507547
22§3.1150644§3.0449672§Chromosome(steinerPoints=[(0.72865844, 0.6079824), (0.9598286, 0.7866192)], includedObstacleCornersIndices=set([6, 8, 3, 15, 16]))§4227§1.5323585
23§3.111335§3.0435088§Chromosome(steinerPoints=[(0.9598286, 0.7866192), (0.72322845, 0.5965917)], includedObstacleCornersIndices=set([3, 15, 16, 28, 8, 6]))§4399§1.5591953
31§3.084706§3.041687§Chromosome(steinerPoints=[(0.9598286, 0.7866192), (0.72322845, 0.5965917), (0.41409504, 0.91810524)], includedObstacleCornersIndices=set([8, 6, 3, 15, 16]))§5785§1.7832516
33§3.0895967§3.0377574§Chromosome(steinerPoints=[(0.9598286, 0.7866192), (0.72322845, 0.5965917), (0.72436714, 0.50475633)], includedObstacleCornersIndices=set([8, 3, 15, 16, 28]))§6139§1.8483504
41§3.0822904§3.035648§Chromosome(steinerPoints=[(0.9598286, 0.7866192), (0.72322845, 0.5965917), (0.72436714, 0.50475633), (0.41409504, 0.91810524)], includedObstacleCornersIndices=set([15, 16, 28, 8, 3]))§7527§2.123053
50§3.077592§3.0347898§Chromosome(steinerPoints=[(0.72322845, 0.5965917), (0.72436714, 0.50475633), (0.9598286, 0.7866192), (0.41409504, 0.91810524), (0.40292615, 0.89031357)], includedObstacleCornersIndices=set([8, 15, 16, 28]))§9106§2.4431295
551§3.0563455§3.0346675§Chromosome(steinerPoints=[(0.72322845, 0.5965917), (0.72436714, 0.50475633), (0.40292615, 0.89031357), (0.9598286, 0.7866192)], includedObstacleCornersIndices=set([15, 16, 28, 8]))§115868§22.096725
