generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§3.6443725§3.0908113§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([16, 15]))§675§0.9599914
3§3.342925§3.0809445§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([6, 8, 16, 15]))§1011§1.0081156
6§3.203958§3.0771625§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([3, 15, 28, 16]))§1514§1.0747432
7§3.1803374§3.067063§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([3, 15, 28, 16, 8]))§1682§1.0972568
8§3.162634§3.0639305§Chromosome(steinerPoints=[(0.72322845, 0.5965917)], includedObstacleCornersIndices=set([16, 15, 28, 6, 8]))§1850§1.1198188
12§3.1333363§3.0615442§Chromosome(steinerPoints=[(0.72436714, 0.50475633)], includedObstacleCornersIndices=set([28, 16, 15, 8, 3]))§2528§1.2090532
16§3.1190476§3.0553758§Chromosome(steinerPoints=[(0.72322845, 0.5965917)], includedObstacleCornersIndices=set([3, 15, 28, 16, 6, 8, 20]))§3203§1.304573
17§3.1209438§3.0505693§Chromosome(steinerPoints=[(0.72322845, 0.5965917)], includedObstacleCornersIndices=set([6, 8, 3, 16, 15, 28]))§3371§1.33098
21§3.102535§3.0487478§Chromosome(steinerPoints=[(0.72322845, 0.5965917), (0.41409504, 0.91810524)], includedObstacleCornersIndices=set([8, 3, 15, 16, 6]))§4066§1.4390941
24§3.0925539§3.043276§Chromosome(steinerPoints=[(0.72322845, 0.5965917), (0.9598286, 0.7866192)], includedObstacleCornersIndices=set([16, 15, 3, 28, 8]))§4584§1.5254812
27§3.097076§3.0377574§Chromosome(steinerPoints=[(0.72322845, 0.5965917), (0.9598286, 0.7866192), (0.72436714, 0.50475633)], includedObstacleCornersIndices=set([8, 16, 15, 28, 3]))§5097§1.6142669
34§3.085727§3.035648§Chromosome(steinerPoints=[(0.41409504, 0.91810524), (0.72322845, 0.5965917), (0.9598286, 0.7866192), (0.72436714, 0.50475633)], includedObstacleCornersIndices=set([3, 16, 15, 28, 8]))§6301§1.8366262
47§3.0723565§3.0347898§Chromosome(steinerPoints=[(0.41409504, 0.91810524), (0.9598286, 0.7866192), (0.72436714, 0.50475633), (0.72322845, 0.5965917), (0.40292615, 0.89031357)], includedObstacleCornersIndices=set([28, 15, 16, 8]))§8577§2.2753327
509§3.057749§3.0338275§Chromosome(steinerPoints=[(0.9598286, 0.7866192), (0.40292615, 0.89031357), (0.72322845, 0.5965917), (0.7372414, 0.51790905)], includedObstacleCornersIndices=set([15, 28, 16, 8]))§106141§18.412527
696§3.0540166§3.032593§Chromosome(steinerPoints=[(0.40292615, 0.89031357), (0.9598286, 0.7866192), (0.72322845, 0.5965917), (0.71463114, 0.5070953)], includedObstacleCornersIndices=set([15, 16, 8, 28]))§149540§24.86392
726§3.0553563§3.0308974§Chromosome(steinerPoints=[(0.9598286, 0.7866192), (0.72322845, 0.5965917), (0.71463114, 0.5070953), (0.40292615, 0.89031357), (0.72504675, 0.5146372)], includedObstacleCornersIndices=set([15, 16, 28, 8]))§156493§25.654093
808§3.0544612§3.030477§Chromosome(steinerPoints=[(0.40292615, 0.89031357), (0.72322845, 0.5965917), (0.72504675, 0.5146372), (0.9598286, 0.7866192), (0.7237814, 0.5079184)], includedObstacleCornersIndices=set([15, 16, 28, 8]))§175578§28.614584
814§3.0583196§3.0298922§Chromosome(steinerPoints=[(0.40292615, 0.89031357), (0.67478436, 0.47695747), (0.9598286, 0.7866192), (0.72322845, 0.5965917), (0.72504675, 0.5146372), (0.7237814, 0.5079184)], includedObstacleCornersIndices=set([15, 16, 28, 8]))§176956§28.771637
1315§3.050251§3.0298862§Chromosome(steinerPoints=[(0.40292615, 0.89031357), (0.67478436, 0.47695747), (0.72322845, 0.5965917), (0.7237814, 0.5079184), (0.9598286, 0.7866192)], includedObstacleCornersIndices=set([28, 15, 16, 8]))§293235§44.130642
