function evaluations§best§chromosome§runtime in seconds
2§10000000000§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 7, 8]))§0.000211944
4§6.963811§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 7, 8, 5]))§0.00040891
13§5.8457775§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 7, 5]))§0.000853517
32§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 5]))§0.001474236
139224§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 5]))§1.2449687
