function evaluations§best§chromosome§runtime in seconds
2§10.144281§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§0.000064307
169§10.133023§Chromosome(steinerPoints=[(4.8647547, 3.5902622)], includedObstacleCornersIndices=set([]))§0.003567753
178§10.127716§Chromosome(steinerPoints=[(4.9175406, 5.476987)], includedObstacleCornersIndices=set([]))§0.003799635
31035§10.11891§Chromosome(steinerPoints=[(6.865945, 2.5462532), (4.8327646, 3.608791)], includedObstacleCornersIndices=set([]))§0.28793868
112819§10.116984§Chromosome(steinerPoints=[(5.1130743, 5.8685255)], includedObstacleCornersIndices=set([]))§0.8783599
252011§10.116984§Chromosome(steinerPoints=[(5.1130743, 5.8685255)], includedObstacleCornersIndices=set([]))§1.8525593
