function evaluations§best§chromosome§runtime in seconds
2§1.6103898§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([3]))§0.000041687
3§1.1206716§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§0.000069804
70§1.0502166§Chromosome(steinerPoints=[(0.48533857, 0.42264658)], includedObstacleCornersIndices=set([]))§0.000368089
139262§1.0502166§Chromosome(steinerPoints=[(0.48533857, 0.42264658)], includedObstacleCornersIndices=set([]))§0.80211675
