function evaluations§best§chromosome§runtime in seconds
2§2.6490078§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([4]))§0.001040323
165§2.6366615§Chromosome(steinerPoints=[(0.9063096, 0.7126548)], includedObstacleCornersIndices=set([13, 6, 16, 7]))§0.017647792
1024§2.6133275§Chromosome(steinerPoints=[(0.6105735, 0.71795434), (0.833493, 0.75003225), (0.18784611, 0.29322356)], includedObstacleCornersIndices=set([4, 7]))§0.062431622
1045§2.6009507§Chromosome(steinerPoints=[(0.6105735, 0.71795434), (0.833493, 0.75003225), (0.18784611, 0.29322356)], includedObstacleCornersIndices=set([1, 7]))§0.06341972
1052§2.5681338§Chromosome(steinerPoints=[(0.6105735, 0.71795434), (0.833493, 0.75003225), (0.18784611, 0.29322356)], includedObstacleCornersIndices=set([7, 6]))§0.063766465
1903§2.5661256§Chromosome(steinerPoints=[(0.3429798, 0.6331224), (0.57834446, 0.71341425), (0.51899785, 0.8265588)], includedObstacleCornersIndices=set([7, 6]))§0.11191072
1921§2.5576646§Chromosome(steinerPoints=[(0.3429798, 0.6331224), (0.57834446, 0.71341425), (0.51899785, 0.8265588), (0.12793314, 0.29356533)], includedObstacleCornersIndices=set([7]))§0.11293816
6352§2.5544267§Chromosome(steinerPoints=[(0.2046526, 0.3737623), (0.5644297, 0.7226435), (0.9063096, 0.7126548), (0.72896075, 0.4041025), (0.5454296, 0.6287556)], includedObstacleCornersIndices=set([7, 6]))§0.40834883
6364§2.5437915§Chromosome(steinerPoints=[(0.2046526, 0.3737623), (0.5644297, 0.7226435), (0.9063096, 0.7126548), (0.72896075, 0.4041025), (0.5454296, 0.6287556), (0.14607869, 0.33743155)], includedObstacleCornersIndices=set([7, 6]))§0.4093893
6368§2.5378652§Chromosome(steinerPoints=[(0.2046526, 0.3737623), (0.5644297, 0.7226435), (0.9063096, 0.7126548), (0.72896075, 0.4041025), (0.5454296, 0.6287556), (0.14607869, 0.33743155)], includedObstacleCornersIndices=set([7, 6, 5, 13]))§0.4096742
6691§2.532566§Chromosome(steinerPoints=[(0.14607869, 0.33743155), (0.5644297, 0.7226435)], includedObstacleCornersIndices=set([6, 13]))§0.43051264
6710§2.5262961§Chromosome(steinerPoints=[(0.14607869, 0.33743155), (0.5644297, 0.7226435)], includedObstacleCornersIndices=set([]))§0.43113023
6737§2.5203366§Chromosome(steinerPoints=[(0.14607869, 0.33743155), (0.5644297, 0.7226435)], includedObstacleCornersIndices=set([16, 7]))§0.43200892
6871§2.5151744§Chromosome(steinerPoints=[(0.14607869, 0.33743155), (0.5644297, 0.7226435)], includedObstacleCornersIndices=set([6, 7]))§0.43770668
6876§2.509527§Chromosome(steinerPoints=[(0.14607869, 0.33743155), (0.5644297, 0.7226435), (0.5046899, 0.8362386)], includedObstacleCornersIndices=set([6, 7]))§0.4379712
14464§2.5026896§Chromosome(steinerPoints=[(0.9063096, 0.7126548), (0.5283585, 0.7031868), (0.48883468, 0.81790984), (0.14995065, 0.33265412)], includedObstacleCornersIndices=set([7]))§0.927817
14498§2.5001707§Chromosome(steinerPoints=[(0.14995065, 0.33265412), (0.5283585, 0.7031868), (0.48883468, 0.81790984), (0.8522832, 0.6880135)], includedObstacleCornersIndices=set([]))§0.9294769
14516§2.499386§Chromosome(steinerPoints=[(0.14995065, 0.33265412), (0.5283585, 0.7031868), (0.48883468, 0.81790984), (0.8522832, 0.6880135), (0.5347534, 0.7117975)], includedObstacleCornersIndices=set([]))§0.9303115
153708§2.499386§Chromosome(steinerPoints=[(0.14995065, 0.33265412), (0.5283585, 0.7031868), (0.48883468, 0.81790984), (0.8522832, 0.6880135), (0.5347534, 0.7117975)], includedObstacleCornersIndices=set([]))§6.448545
