function evaluations§best§chromosome§runtime in seconds
2§1.8559932§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§0.000083472
213§1.8513899§Chromosome(steinerPoints=[(0.8780974, 0.7732695)], includedObstacleCornersIndices=set([]))§0.002953788
1338§1.8482646§Chromosome(steinerPoints=[(0.43361425, 0.29072937), (0.45034042, 0.27159214), (0.8780974, 0.7732695)], includedObstacleCornersIndices=set([]))§0.019311003
3792§1.847165§Chromosome(steinerPoints=[(0.8780974, 0.7732695), (0.44182467, 0.25428516)], includedObstacleCornersIndices=set([]))§0.04899651
142984§1.847165§Chromosome(steinerPoints=[(0.8780974, 0.7732695), (0.44182467, 0.25428516)], includedObstacleCornersIndices=set([]))§1.6160529
