function evaluations§best§chromosome§runtime in seconds
2§2.3556347§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([3]))§0.000041871
6§2.2970562§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 3]))§0.00009115
139198§2.2970562§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 3]))§0.7838676
