function evaluations§best§chromosome§runtime in seconds
2§1.619903§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([2]))§0.000037261
3§1.1206716§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§0.000061769
51§1.0502166§Chromosome(steinerPoints=[(0.48533857, 0.42264658)], includedObstacleCornersIndices=set([]))§0.000258287
139243§1.0502166§Chromosome(steinerPoints=[(0.48533857, 0.42264658)], includedObstacleCornersIndices=set([]))§0.65428346
