function evaluations§best§chromosome§runtime in seconds
2§1.619903§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([2]))§0.000080654
43§1.1206716§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§0.000535218
462§1.0502166§Chromosome(steinerPoints=[(0.48533857, 0.42264658)], includedObstacleCornersIndices=set([]))§0.003126536
139654§1.0502166§Chromosome(steinerPoints=[(0.48533857, 0.42264658)], includedObstacleCornersIndices=set([]))§0.77645856
