function evaluations§best§chromosome§runtime in seconds
2§1.6103898§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([3]))§0.000105006
12§1.1206716§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§0.000383182
85§1.0502166§Chromosome(steinerPoints=[(0.48533857, 0.42264658)], includedObstacleCornersIndices=set([]))§0.001095552
139277§1.0502166§Chromosome(steinerPoints=[(0.48533857, 0.42264658)], includedObstacleCornersIndices=set([]))§0.6795378
