function evaluations§best§chromosome§runtime in seconds
2§2.3999999§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§0.000068363
4§2.3556347§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([3]))§0.000155184
6§2.2970562§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([3, 2]))§0.000234922
139198§2.2970562§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([3, 2]))§0.9611788
