function evaluations§best§chromosome§runtime in seconds
2§2.3999999§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§0.000103404
4§2.355635§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([1]))§0.000269933
12§2.2970562§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 1]))§0.000550497
139204§2.2970562§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 1]))§0.92425877
