generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
8§33059996000§2.5898316§Chromosome(steinerPoints=[(0.34666666, 0.8033333), (-0.20280695, 1.1141342), (0.24933334, 0.828), (0.21733333, 0.642), (0.15200001, 0.8526667), (0.68976223, 0.297507), (0.26858523, 0.34488213), (0.27615744, 0.42047286), (0.8774524, 0.3562622), (0.6586829, 0.7458101)], includedObstacleCornersIndices=set([0, 1, 2]))§1854§0.09917487
9§28219996000§2.3331952§Chromosome(steinerPoints=[(0.32275477, 0.943745), (0.32166034, 0.19153437), (0.37735444, 0.8891503), (0.5913703, 1.0609852), (0.15200001, 0.8526667), (0.24933334, 0.828), (0.17866667, 0.75666666), (0.4515103, 0.965646), (0.2222375, 0.4303273), (0.44267583, 0.9806236), (0.036976278, 0.97881246)], includedObstacleCornersIndices=set([1, 2]))§2023§0.1080826
10§23239995000§2.1381729§Chromosome(steinerPoints=[(0.34666666, 0.8033333), (-0.20280695, 1.1141342), (0.24933334, 0.828), (0.21733333, 0.642), (0.15200001, 0.8526667), (0.26858523, 0.34488213), (0.27615744, 0.42047286)], includedObstacleCornersIndices=set([2, 0, 1]))§2195§0.11735886
11§18619992000§1.2390065§Chromosome(steinerPoints=[(0.518, 0.74399996), (0.34666666, 0.8033333), (0.24933334, 0.828), (0.21733333, 0.642), (0.20511734, 0.5936762), (0.15200001, 0.8526667), (0.17866667, 0.75666666), (0.152, 0.8526667)], includedObstacleCornersIndices=set([2]))§2365§0.12645666
13§9840018000§0.75885236§Chromosome(steinerPoints=[(0.518, 0.74399996), (0.34666666, 0.8033333), (0.24933334, 0.828), (0.21733333, 0.642), (0.20511734, 0.5936762), (0.15200001, 0.8526667), (0.17866667, 0.75666666), (0.152, 0.8526667)], includedObstacleCornersIndices=set([]))§2709§0.1456499
18§659999740§0.731692§Chromosome(steinerPoints=[(0.17913818, 0.6539079), (0.17866667, 0.75666666), (0.152, 0.8526667), (0.15200001, 0.8526667), (0.24933334, 0.828), (0.34666666, 0.8033333), (0.40479687, 0.8359043)], includedObstacleCornersIndices=set([]))§3559§0.18027283
21§719999740§0.6830907§Chromosome(steinerPoints=[(0.34666666, 0.8033333), (0.17866667, 0.75666666), (0.152, 0.8526667), (0.21733333, 0.642)], includedObstacleCornersIndices=set([]))§4071§0.19525826
22§579999800§0.68297976§Chromosome(steinerPoints=[(0.34666666, 0.8033333), (0.24933334, 0.828), (0.15200001, 0.8526667), (0.152, 0.8526667)], includedObstacleCornersIndices=set([]))§4245§0.19974634
24§639999900§0.67705667§Chromosome(steinerPoints=[(0.17913818, 0.6539079), (0.17866667, 0.75666666), (0.152, 0.8526667), (0.15200001, 0.8526667), (0.24933334, 0.828)], includedObstacleCornersIndices=set([0]))§4588§0.20799224
27§459999940§0.6683085§Chromosome(steinerPoints=[(0.15200001, 0.8526667), (0.34666666, 0.8033333)], includedObstacleCornersIndices=set([0]))§5098§0.2192231
30§519999900§0.6667087§Chromosome(steinerPoints=[(0.15200001, 0.8526667)], includedObstacleCornersIndices=set([0]))§5619§0.22907025
531§0.74922377§0.6667087§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0]))§111137§0.6409251
