function evaluations§best§chromosome§runtime in seconds
2§1.6103898§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([3]))§0.000082091
3§1.1206716§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§0.000136687
5122§1.0502166§Chromosome(steinerPoints=[(0.48533857, 0.42264658)], includedObstacleCornersIndices=set([]))§0.08426036
144314§1.0502166§Chromosome(steinerPoints=[(0.48533857, 0.42264658)], includedObstacleCornersIndices=set([]))§0.84734374
