function evaluations§best§chromosome§runtime in seconds
2§2.3999999§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§0.000119741
4§2.3556347§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([3]))§0.00023965
6§2.2970562§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([3, 2]))§0.000385405
139198§2.2970562§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([3, 2]))§0.9733471
