function evaluations§best§chromosome§runtime in seconds
2§1.8865021§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§0.000086269
5787§1.8818989§Chromosome(steinerPoints=[(0.8780974, 0.7732695)], includedObstacleCornersIndices=set([]))§0.20026682
144979§1.8818989§Chromosome(steinerPoints=[(0.8780974, 0.7732695)], includedObstacleCornersIndices=set([]))§2.53185
