function evaluations§best§chromosome§runtime in seconds
2§1.8559932§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§0.000045311
55§1.8513899§Chromosome(steinerPoints=[(0.8780974, 0.7732695)], includedObstacleCornersIndices=set([]))§0.000421781
12278§1.8471711§Chromosome(steinerPoints=[(0.8780974, 0.7732695), (0.1755378, 0.67200625), (0.44182467, 0.25428516)], includedObstacleCornersIndices=set([]))§0.40337247
151470§1.8471711§Chromosome(steinerPoints=[(0.8780974, 0.7732695), (0.1755378, 0.67200625), (0.44182467, 0.25428516)], includedObstacleCornersIndices=set([]))§2.2474086
