function evaluations§best§chromosome§runtime in seconds
2§1.1206716§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§0.000071544
109§1.0502166§Chromosome(steinerPoints=[(0.48533857, 0.42264658)], includedObstacleCornersIndices=set([]))§0.000528052
139301§1.0502166§Chromosome(steinerPoints=[(0.48533857, 0.42264658)], includedObstacleCornersIndices=set([]))§0.7029577
