function evaluations§best§chromosome§runtime in seconds
2§2.3556347§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([3]))§0.000046696
6§2.2970562§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 3]))§0.000103698
139198§2.2970562§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 3]))§1.0404286
