function evaluations§best§chromosome§runtime in seconds
2§1.8908755§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([3]))§0.000103235
3§1.8865021§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§0.000156058
1988§1.8862721§Chromosome(steinerPoints=[(0.8780974, 0.7732695)], includedObstacleCornersIndices=set([3]))§0.037988417
1990§1.8818989§Chromosome(steinerPoints=[(0.8780974, 0.7732695)], includedObstacleCornersIndices=set([]))§0.03806061
141182§1.8818989§Chromosome(steinerPoints=[(0.8780974, 0.7732695)], includedObstacleCornersIndices=set([]))§2.2835474
