function evaluations§best§chromosome§runtime in seconds
2§1.1206716§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§0.000125435
184§1.0502166§Chromosome(steinerPoints=[(0.48533857, 0.42264658)], includedObstacleCornersIndices=set([]))§0.002929123
139376§1.0502166§Chromosome(steinerPoints=[(0.48533857, 0.42264658)], includedObstacleCornersIndices=set([]))§0.9930797
