function evaluations§best§chromosome§runtime in seconds
2§2.0699341§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 1, 3]))§0.000177541
4§1.9658966§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([3, 1]))§0.000273053
9§1.9286945§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([3]))§0.000426373
3328§1.9276624§Chromosome(steinerPoints=[(0.8780974, 0.7732695)], includedObstacleCornersIndices=set([]))§0.10258556
3329§1.9240911§Chromosome(steinerPoints=[(0.8780974, 0.7732695)], includedObstacleCornersIndices=set([3]))§0.10265693
142521§1.9240911§Chromosome(steinerPoints=[(0.8780974, 0.7732695)], includedObstacleCornersIndices=set([3]))§2.7113173
