function evaluations§best§chromosome§runtime in seconds
2§2.3999999§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§0.000085263
4§2.355635§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([1]))§0.000219938
17§2.2970562§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([1, 2]))§0.000490998
139209§2.2970562§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([1, 2]))§0.9816008
