generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§5.5270596§4.7110105§Chromosome(steinerPoints=[(0.9490863, 0.034805685), (0.6327621, 0.3520072)], includedObstacleCornersIndices=set([7, 8, 9, 19, 0, 1, 2, 3, 4, 5, 6, 10, 11, 12, 29, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 28, 26, 27]))§667§4.206325
2§5.2276506§4.683038§Chromosome(steinerPoints=[(0.93897927, 0.88689506), (0.8864955, 0.07096055), (0.53897476, 0.709346), (0.56933504, 0.6941828)], includedObstacleCornersIndices=set([0, 1, 2, 3, 4, 5, 10, 18, 29, 14, 15, 16, 17, 21, 22, 23, 24, 28, 26, 27, 8, 9, 19, 6, 20, 12, 13]))§834§4.2975087
3§5.020822§4.498588§Chromosome(steinerPoints=[(0.41141272, 0.11620056), (0.84715796, 0.9406254)], includedObstacleCornersIndices=set([0, 1, 2, 4, 5, 10, 11, 14, 15, 16, 17, 25, 26, 27, 28, 29, 6, 19, 9, 8, 13, 20, 21, 22, 23, 24, 7]))§1001§4.373231
4§4.8828554§4.2206864§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([29, 26, 27, 0, 1, 19, 3, 8, 5, 10, 11, 13, 14, 15, 20, 6, 21, 22, 18, 24, 28]))§1168§4.438273
7§4.6174235§4.160813§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([26, 28, 3, 4, 5, 27, 17, 13, 18, 22, 23, 24, 0, 1, 29, 16, 15, 8, 9, 19, 6, 7, 20]))§1669§4.606598
8§4.532775§4.0192585§Chromosome(steinerPoints=[(0.13571462, 0.47995955)], includedObstacleCornersIndices=set([1, 13, 25, 26, 19, 29, 0, 15, 16, 4, 5, 14, 22, 2, 3, 20, 6, 7, 8, 9]))§1837§4.6569295
10§4.369105§3.8803387§Chromosome(steinerPoints=[(0.13571462, 0.47995955)], includedObstacleCornersIndices=set([20, 23, 18, 6, 7, 13, 9, 2, 22, 14, 26, 27, 3, 15, 16, 4, 5]))§2177§4.7495203
11§4.284608§3.8206642§Chromosome(steinerPoints=[(0.13571462, 0.47995955), (0.407962, 0.3643202)], includedObstacleCornersIndices=set([14, 26, 8, 15, 16, 5, 18, 4, 11, 22, 24, 9, 13, 20, 23, 19]))§2344§4.79177
12§4.205829§3.6547954§Chromosome(steinerPoints=[(0.13571462, 0.47995955), (0.41090482, 0.8237885)], includedObstacleCornersIndices=set([21, 14, 26, 27, 15, 16, 4, 5, 8, 9, 19, 13, 3, 6, 24]))§2512§4.8328075
15§3.9806027§3.5851307§Chromosome(steinerPoints=[(0.13571462, 0.47995955)], includedObstacleCornersIndices=set([3, 16, 21, 22, 19, 8, 9, 6, 18, 20, 14, 26, 27, 15]))§3022§4.945504
16§3.91622§3.5102262§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([27, 19, 8, 13, 20, 3, 16, 24, 21, 22, 15, 23, 28]))§3195§4.9806404
17§3.849163§3.470505§Chromosome(steinerPoints=[(0.84715796, 0.9406254)], includedObstacleCornersIndices=set([24, 9, 22, 16, 21, 6, 8, 17, 28, 29, 15]))§3362§5.0125318
19§3.7253306§3.3977156§Chromosome(steinerPoints=[(0.84715796, 0.9406254)], includedObstacleCornersIndices=set([22, 3, 20, 8, 9, 6, 16, 15, 27]))§3706§5.0741615
20§3.6634896§3.2950268§Chromosome(steinerPoints=[(0.84715796, 0.9406254)], includedObstacleCornersIndices=set([28, 22, 3, 20, 8, 9, 6, 16, 15]))§3876§5.1015472
22§3.5627015§3.2787967§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([9, 3, 19, 15, 27]))§4214§5.152986
23§3.5251222§3.1301956§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([9, 3, 15, 28, 16]))§4386§5.1778564
26§3.4155247§3.1173136§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([3, 15, 28, 16, 19, 8, 14]))§4910§5.2479897
28§3.3583453§3.0798483§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([9, 3, 15, 28, 16, 8]))§5251§5.2916474
30§3.2931507§3.0672956§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([3, 15, 28, 16, 8, 6]))§5598§5.331655
36§3.147508§3.0639837§Chromosome(steinerPoints=[(0.84715796, 0.9406254), (0.72322845, 0.5965917)], includedObstacleCornersIndices=set([3, 15, 28, 16, 9, 6, 8]))§6624§5.44261
40§3.1127625§3.0503368§Chromosome(steinerPoints=[(0.72322845, 0.5965917)], includedObstacleCornersIndices=set([28, 15, 16, 3, 8]))§7321§5.5118885
43§3.1110713§3.0489323§Chromosome(steinerPoints=[(0.72322845, 0.5965917), (0.92620015, 0.7700452)], includedObstacleCornersIndices=set([6, 8, 28, 15, 3, 16]))§7842§5.5617495
44§3.1118314§3.047715§Chromosome(steinerPoints=[(0.73080343, 0.5308269), (0.72322845, 0.5965917)], includedObstacleCornersIndices=set([8, 6, 3, 15, 28, 16]))§8018§5.5784836
48§3.099094§3.046078§Chromosome(steinerPoints=[(0.92620015, 0.7700452), (0.72322845, 0.5965917), (0.73080343, 0.5308269)], includedObstacleCornersIndices=set([8, 6, 28, 15, 3, 16]))§8727§5.646985
49§3.0887268§3.043181§Chromosome(steinerPoints=[(0.72322845, 0.5965917), (0.72436714, 0.50475633), (0.92620015, 0.7700452)], includedObstacleCornersIndices=set([3, 15, 28, 16, 8]))§8902§5.6647897
54§3.0897822§3.040942§Chromosome(steinerPoints=[(0.73080343, 0.5308269), (0.72322845, 0.5965917), (0.9598286, 0.7866192)], includedObstacleCornersIndices=set([6, 15, 3, 16, 8]))§9789§5.7614985
57§3.0830588§3.0385451§Chromosome(steinerPoints=[(0.73080343, 0.5308269), (0.72322845, 0.5965917), (0.41409504, 0.91810524), (0.9598286, 0.7866192)], includedObstacleCornersIndices=set([8, 6, 3, 16, 28, 15]))§10317§5.8205724
58§3.0837808§3.0377574§Chromosome(steinerPoints=[(0.72322845, 0.5965917), (0.72436714, 0.50475633), (0.9598286, 0.7866192)], includedObstacleCornersIndices=set([15, 16, 3, 28, 8]))§10492§5.8411965
62§3.0838876§3.0358555§Chromosome(steinerPoints=[(0.72322845, 0.5965917), (0.72436714, 0.50475633), (0.41409504, 0.91810524), (0.9598286, 0.7866192)], includedObstacleCornersIndices=set([16, 15, 8]))§11196§5.922333
66§3.0855174§3.0347898§Chromosome(steinerPoints=[(0.72322845, 0.5965917), (0.72436714, 0.50475633), (0.9598286, 0.7866192), (0.41409504, 0.91810524), (0.40292615, 0.89031357)], includedObstacleCornersIndices=set([8, 16, 28, 15]))§11904§6.008527
