generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1459999700§2.763343§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([9, 8, 2, 6]))§1031§0.12001109
4§140000020§2.7506132§Chromosome(steinerPoints=[(0.71876144, 0.2802855)], includedObstacleCornersIndices=set([6, 9, 8, 2]))§1865§0.17016682
5§300000000§2.7464268§Chromosome(steinerPoints=[(0.71876144, 0.2802855), (0.076480985, 0.09891105)], includedObstacleCornersIndices=set([9, 8, 2]))§2142§0.18628478
7§479999940§2.7420807§Chromosome(steinerPoints=[(0.81445247, 0.12459756), (0.71876144, 0.2802855), (0.0763326, 0.0982514)], includedObstacleCornersIndices=set([9, 2]))§2689§0.21493883
508§919999550§2.7420807§Chromosome(steinerPoints=[(0.81445247, 0.12459756), (0.0763326, 0.0982514), (0.71876144, 0.2802855)], includedObstacleCornersIndices=set([9, 2]))§141220§7.407282
