generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§3.2385225§1.6103898§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([3]))§666§0.030456332
2§2.9571052§1.1206716§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§833§0.03207229
5§2.1553168§1.0502166§Chromosome(steinerPoints=[(0.48533857, 0.42264658)], includedObstacleCornersIndices=set([]))§1334§0.03603235
506§1.1817473§1.0502166§Chromosome(steinerPoints=[(0.48533857, 0.42264658)], includedObstacleCornersIndices=set([]))§105190§0.57124984
