generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§3.1982574§1.1206716§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§668§0.03230186
5§2.1029685§1.0502166§Chromosome(steinerPoints=[(0.48533857, 0.42264658)], includedObstacleCornersIndices=set([]))§1341§0.038140733
506§1.1778549§1.0502166§Chromosome(steinerPoints=[(0.48533857, 0.42264658)], includedObstacleCornersIndices=set([]))§105211§0.5806458
