generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§3.2168164§1.6103898§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([3]))§667§0.0259897
3§2.65948§1.0504824§Chromosome(steinerPoints=[(0.48692846, 0.42754778)], includedObstacleCornersIndices=set([]))§1001§0.029118717
8§1.6727543§1.0502166§Chromosome(steinerPoints=[(0.48533857, 0.42264658)], includedObstacleCornersIndices=set([]))§1840§0.03525112
509§1.1701512§1.0502166§Chromosome(steinerPoints=[(0.48533857, 0.42264658)], includedObstacleCornersIndices=set([]))§106025§0.5746145
