generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§3.2250874§1.6103898§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([3]))§667§0.030942667
3§2.690582§1.1206716§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§1000§0.034239408
6§1.9919807§1.0502166§Chromosome(steinerPoints=[(0.48533857, 0.42264658)], includedObstacleCornersIndices=set([]))§1509§0.03774192
507§1.1872371§1.0502166§Chromosome(steinerPoints=[(0.48533857, 0.42264658)], includedObstacleCornersIndices=set([]))§105694§0.58184785
