generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2.2928126§1.8908755§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([3]))§666§0.08734959
3§2.0894587§1.8865021§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§999§0.09431919
13§1.9109318§1.8818989§Chromosome(steinerPoints=[(0.8780974, 0.7732695)], includedObstacleCornersIndices=set([]))§2683§0.11577167
514§1.9007844§1.8818989§Chromosome(steinerPoints=[(0.8780974, 0.7732695)], includedObstacleCornersIndices=set([]))§107143§1.4888371
