generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§4.5728464§3.9633605§Chromosome(steinerPoints=[(0.7603108, 0.6193116)], includedObstacleCornersIndices=set([0, 1, 2, 4, 19, 6, 7, 8, 3, 10, 18, 12, 13, 14, 15, 16, 17]))§666§1.1595075
2§4.3701124§3.7684255§Chromosome(steinerPoints=[(0.4909324, 0.40638813)], includedObstacleCornersIndices=set([0, 1, 2, 3, 17, 19, 4, 5, 6, 7, 8, 9, 10, 11, 12, 16]))§834§1.1898689
3§4.2306786§3.4113984§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([4, 6, 7, 9, 2, 11, 13, 14, 1, 16, 0, 3, 17, 19]))§1003§1.2146508
5§4.0141096§3.3259754§Chromosome(steinerPoints=[(0.6268485, 0.60577095), (0.77908003, 0.6982129)], includedObstacleCornersIndices=set([2, 1, 16, 14, 17, 19, 5, 6, 7, 8, 12]))§1340§1.2559067
7§3.815282§3.2646778§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([16, 2, 4, 5, 11, 6, 7, 9, 12, 13, 14, 3]))§1678§1.2916778
8§3.7071674§3.1945462§Chromosome(steinerPoints=[(0.5444752, 0.8544622)], includedObstacleCornersIndices=set([0, 2, 19, 3, 17, 6, 9, 13, 7]))§1845§1.3070474
9§3.6088428§3.0605369§Chromosome(steinerPoints=[(0.5444752, 0.8544622)], includedObstacleCornersIndices=set([2, 17, 19, 3, 6, 9, 13, 7]))§2013§1.3206105
10§3.5091007§3.0290735§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([6, 7, 12, 13, 2, 16, 4, 3, 17, 1]))§2183§1.3338485
12§3.3303335§2.8934026§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([11, 1, 7, 4]))§2520§1.3570431
15§3.13016§2.7989333§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([1, 16, 6, 13, 7]))§3033§1.3870686
17§3.0404592§2.7606902§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([7, 6, 13, 16]))§3379§1.4041613
18§2.9930112§2.7589889§Chromosome(steinerPoints=[(0.5644297, 0.7226435)], includedObstacleCornersIndices=set([19, 17, 16]))§3551§1.4120986
21§2.900243§2.7036645§Chromosome(steinerPoints=[(0.5644297, 0.7226435)], includedObstacleCornersIndices=set([17, 16]))§4067§1.4330174
23§2.8510034§2.6973476§Chromosome(steinerPoints=[(0.5444752, 0.8544622), (0.57409257, 0.7229073)], includedObstacleCornersIndices=set([6, 7, 13, 1]))§4414§1.4454768
24§2.8340793§2.6908832§Chromosome(steinerPoints=[(0.5644297, 0.7226435)], includedObstacleCornersIndices=set([1, 16, 7]))§4582§1.45095
26§2.8088257§2.674696§Chromosome(steinerPoints=[(0.5644297, 0.7226435)], includedObstacleCornersIndices=set([5, 7, 16]))§4923§1.4626789
27§2.8033075§2.6478148§Chromosome(steinerPoints=[(0.57409257, 0.7229073)], includedObstacleCornersIndices=set([7, 5, 6]))§5093§1.4683025
28§2.791871§2.6469572§Chromosome(steinerPoints=[(0.5644297, 0.7226435)], includedObstacleCornersIndices=set([7]))§5263§1.4739453
31§2.753364§2.6463447§Chromosome(steinerPoints=[(0.14995065, 0.33265412), (0.5644297, 0.7226435)], includedObstacleCornersIndices=set([16]))§5780§1.4905931
32§2.7475283§2.6293492§Chromosome(steinerPoints=[(0.57409257, 0.7229073), (0.14995065, 0.33265412)], includedObstacleCornersIndices=set([7, 16]))§5954§1.496673
34§2.7175884§2.628618§Chromosome(steinerPoints=[(0.5644297, 0.7226435), (0.14995065, 0.33265412)], includedObstacleCornersIndices=set([16, 7]))§6299§1.5083477
35§2.7020001§2.6229615§Chromosome(steinerPoints=[(0.14995065, 0.33265412), (0.5644297, 0.7226435)], includedObstacleCornersIndices=set([7, 6]))§6474§1.5140704
41§2.683856§2.6211214§Chromosome(steinerPoints=[(0.14995065, 0.33265412), (0.5644297, 0.7226435), (0.9063096, 0.7126548)], includedObstacleCornersIndices=set([6, 7]))§7517§1.5481719
46§2.6660018§2.61726§Chromosome(steinerPoints=[(0.14995065, 0.33265412), (0.5644297, 0.7226435), (0.5046899, 0.8362386)], includedObstacleCornersIndices=set([7]))§8383§1.5777473
50§2.6605246§2.615818§Chromosome(steinerPoints=[(0.14995065, 0.33265412), (0.5046899, 0.8362386), (0.57409257, 0.7229073), (0.5446717, 0.72795445)], includedObstacleCornersIndices=set([7]))§9090§1.600744
52§2.6550684§2.6154199§Chromosome(steinerPoints=[(0.14995065, 0.33265412), (0.5644297, 0.7226435), (0.9063096, 0.7126548), (0.5046899, 0.8362386)], includedObstacleCornersIndices=set([7]))§9441§1.6116161
57§2.6625152§2.6118429§Chromosome(steinerPoints=[(0.5046899, 0.8362386), (0.14995065, 0.33265412), (0.5644297, 0.7226435), (0.17137083, 0.25682053)], includedObstacleCornersIndices=set([6, 7]))§10318§1.6434743
58§2.6564145§2.6100028§Chromosome(steinerPoints=[(0.5644297, 0.7226435), (0.9063096, 0.7126548), (0.5046899, 0.8362386), (0.14995065, 0.33265412), (0.17137083, 0.25682053)], includedObstacleCornersIndices=set([7, 6]))§10498§1.6502976
66§2.6557264§2.6079745§Chromosome(steinerPoints=[(0.14995065, 0.33265412), (0.17137083, 0.25682053), (0.5644297, 0.7226435), (0.9063096, 0.7126548), (0.5046899, 0.8362386), (0.54458016, 0.72617155)], includedObstacleCornersIndices=set([7]))§11921§1.7124724
69§2.653405§2.6072428§Chromosome(steinerPoints=[(0.14995065, 0.33265412), (0.17137083, 0.25682053), (0.5644297, 0.7226435), (0.5046899, 0.8362386), (0.54458016, 0.72617155), (0.49693203, 0.8248326), (0.9063096, 0.7126548)], includedObstacleCornersIndices=set([6, 7]))§12469§1.7378635
