generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§4120005400§0.6667087§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0]))§667§0.016629254
502§0.7472441§0.6667087§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0]))§104340§0.3723675
