generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§3.203224§1.6103898§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([3]))§668§0.030974897
2§2.959606§1.1206716§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§835§0.0328891
7§1.8046575§1.0671184§Chromosome(steinerPoints=[(0.50451183, 0.46159977)], includedObstacleCornersIndices=set([]))§1676§0.039587583
8§1.6931553§1.0502166§Chromosome(steinerPoints=[(0.48533857, 0.42264658)], includedObstacleCornersIndices=set([]))§1846§0.04066447
509§1.2067293§1.0502166§Chromosome(steinerPoints=[(0.48533857, 0.42264658)], includedObstacleCornersIndices=set([]))§106004§0.67190564
