generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§3.2381582§1.6103898§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([3]))§668§0.03197558
3§2.7273006§1.1206716§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§1004§0.035315786
6§2.0101647§1.058067§Chromosome(steinerPoints=[(0.5104622, 0.44027138)], includedObstacleCornersIndices=set([]))§1509§0.03883968
8§1.7346551§1.0502166§Chromosome(steinerPoints=[(0.48533857, 0.42264658)], includedObstacleCornersIndices=set([]))§1851§0.040715527
509§1.1752675§1.0502166§Chromosome(steinerPoints=[(0.48533857, 0.42264658)], includedObstacleCornersIndices=set([]))§106209§0.590981
