generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2.3011417§1.8908755§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([3]))§666§0.07610158
3§2.0728061§1.8865021§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§1005§0.081760585
8§1.9296795§1.8818989§Chromosome(steinerPoints=[(0.8780974, 0.7732695)], includedObstacleCornersIndices=set([]))§1850§0.09172124
509§1.8979458§1.8818989§Chromosome(steinerPoints=[(0.8780974, 0.7732695)], includedObstacleCornersIndices=set([]))§106067§1.258023
