generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2480000300§1.9347162§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([2, 3]))§677§0.022563571
35§1559999600§1.9237744§Chromosome(steinerPoints=[(0.387201, 0.1722544)], includedObstacleCornersIndices=set([3, 2]))§6477§0.081253186
36§1459999200§1.922105§Chromosome(steinerPoints=[(0.3688447, 0.16806507)], includedObstacleCornersIndices=set([3, 2]))§6649§0.08303686
73§1359999200§1.9178865§Chromosome(steinerPoints=[(0.3688447, 0.16806507), (0.86940193, 0.7688019)], includedObstacleCornersIndices=set([2, 3]))§13151§0.1672705
127§1479999500§1.9163969§Chromosome(steinerPoints=[(0.86940193, 0.7688019), (0.3688447, 0.16806507), (0.37030214, 0.18693635)], includedObstacleCornersIndices=set([2, 3]))§23056§0.34039012
305§1379999400§1.9161558§Chromosome(steinerPoints=[(0.37030214, 0.18693635), (0.86940193, 0.7688019), (0.87098014, 0.7724626)], includedObstacleCornersIndices=set([2, 3]))§59292§1.0243213
806§1059999500§1.9160336§Chromosome(steinerPoints=[(0.37315655, 0.1854337), (0.7815083, 0.52792037), (0.87098014, 0.7724626)], includedObstacleCornersIndices=set([2, 3]))§174891§3.4529123
