generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1.8212572§1.1206716§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§677§0.005304955
8§1.3577285§1.07284§Chromosome(steinerPoints=[(0.4923092, 0.47217137)], includedObstacleCornersIndices=set([]))§1857§0.009548651
30§1.266241§1.0538368§Chromosome(steinerPoints=[(0.506654, 0.42716962)], includedObstacleCornersIndices=set([]))§5632§0.025786364
45§1.2773899§1.0507071§Chromosome(steinerPoints=[(0.48141772, 0.4164467)], includedObstacleCornersIndices=set([]))§8230§0.04118891
432§1.1745442§1.0505126§Chromosome(steinerPoints=[(0.4826681, 0.41772234)], includedObstacleCornersIndices=set([]))§88288§0.4541935
933§1.1630001§1.0505124§Chromosome(steinerPoints=[(0.475042, 0.6022269), (0.4826681, 0.41772234)], includedObstacleCornersIndices=set([]))§204719§1.1457692
