generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1.8246924§1.1206716§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§672§0.011745121
3§1.5731138§1.1127298§Chromosome(steinerPoints=[(0.47990513, 0.5100348)], includedObstacleCornersIndices=set([]))§1008§0.013605795
11§1.3675631§1.0889301§Chromosome(steinerPoints=[(0.5021487, 0.4878733)], includedObstacleCornersIndices=set([]))§2353§0.019659655
37§1.2810837§1.0633091§Chromosome(steinerPoints=[(0.52657884, 0.42614162)], includedObstacleCornersIndices=set([]))§6824§0.044619616
47§1.2672154§1.0504372§Chromosome(steinerPoints=[(0.48387486, 0.42674688)], includedObstacleCornersIndices=set([]))§8566§0.05465929
195§1.1950895§1.0502307§Chromosome(steinerPoints=[(0.48387486, 0.42674688), (0.48407298, 0.4220962)], includedObstacleCornersIndices=set([]))§36339§0.20363583
696§1.1855199§1.0502305§Chromosome(steinerPoints=[(0.48407298, 0.4220962)], includedObstacleCornersIndices=set([]))§149551§0.76953053
