generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1.9151388§1.1206716§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§670§0.011859859
5§1.4349836§1.0602776§Chromosome(steinerPoints=[(0.47135633, 0.44927824)], includedObstacleCornersIndices=set([]))§1344§0.015078225
43§1.2630938§1.0559056§Chromosome(steinerPoints=[(0.49684715, 0.40384033)], includedObstacleCornersIndices=set([]))§7827§0.048362553
99§1.237998§1.0522139§Chromosome(steinerPoints=[(0.5019854, 0.40649694), (0.48521727, 0.4218577)], includedObstacleCornersIndices=set([]))§17853§0.10490049
103§1.2404456§1.0502235§Chromosome(steinerPoints=[(0.48521727, 0.4218577)], includedObstacleCornersIndices=set([]))§18581§0.10886876
604§1.1855273§1.0502235§Chromosome(steinerPoints=[(0.48521727, 0.4218577)], includedObstacleCornersIndices=set([]))§127972§0.66096133
