generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1.0603387§0.6667087§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0]))§671§0.012921399
29§0.82077897§0.6516813§Chromosome(steinerPoints=[(0.22193563, 0.7035256)], includedObstacleCornersIndices=set([0]))§5439§0.032556526
33§0.82451344§0.64630944§Chromosome(steinerPoints=[(0.22193563, 0.7035256)], includedObstacleCornersIndices=set([]))§6132§0.035362486
37§0.79550076§0.63975525§Chromosome(steinerPoints=[(0.28038424, 0.67632246)], includedObstacleCornersIndices=set([0]))§6823§0.038289912
42§0.78864026§0.63887566§Chromosome(steinerPoints=[(0.24725908, 0.72391444)], includedObstacleCornersIndices=set([0]))§7687§0.04279378
44§0.76993746§0.6306279§Chromosome(steinerPoints=[(0.30610362, 0.75736374)], includedObstacleCornersIndices=set([]))§8040§0.044885077
50§0.7739848§0.62867224§Chromosome(steinerPoints=[(0.30191964, 0.7298918)], includedObstacleCornersIndices=set([]))§9104§0.050928593
105§0.75287163§0.6285666§Chromosome(steinerPoints=[(0.30191964, 0.7298918), (0.37725478, 0.7500002)], includedObstacleCornersIndices=set([]))§19072§0.10637434
129§0.74089426§0.6284455§Chromosome(steinerPoints=[(0.30191964, 0.7298918), (0.24927114, 0.5839874), (0.37725478, 0.7500002)], includedObstacleCornersIndices=set([]))§23549§0.13313612
142§0.7193195§0.6279197§Chromosome(steinerPoints=[(0.30191964, 0.7298918), (0.1947686, 0.8389586)], includedObstacleCornersIndices=set([]))§26021§0.15086262
146§0.73693705§0.62779856§Chromosome(steinerPoints=[(0.1947686, 0.8389586), (0.24927114, 0.5839874), (0.30191964, 0.7298918)], includedObstacleCornersIndices=set([]))§26773§0.15713812
149§0.7299543§0.627693§Chromosome(steinerPoints=[(0.1947686, 0.8389586), (0.24927114, 0.5839874), (0.30191964, 0.7298918), (0.37725478, 0.7500002)], includedObstacleCornersIndices=set([]))§27353§0.1624146
165§0.71002555§0.62744033§Chromosome(steinerPoints=[(0.37725478, 0.7500002), (0.24927114, 0.5839874), (0.30191964, 0.7298918), (0.2116316, 0.82610285)], includedObstacleCornersIndices=set([]))§30459§0.19445048
178§0.7179048§0.6273553§Chromosome(steinerPoints=[(0.30191964, 0.7298918), (0.1947686, 0.8389586), (0.24927114, 0.5839874), (0.22082283, 0.8159725), (0.37725478, 0.7500002)], includedObstacleCornersIndices=set([]))§32993§0.22201715
192§0.7160354§0.6271987§Chromosome(steinerPoints=[(0.37725478, 0.7500002), (0.24927114, 0.5839874), (0.30191964, 0.7298918), (0.39956456, 0.75833124), (0.22082283, 0.8159725)], includedObstacleCornersIndices=set([]))§35745§0.25350854
205§0.7201117§0.6271052§Chromosome(steinerPoints=[(0.22082283, 0.8159725), (0.30191964, 0.7298918), (0.39956456, 0.75833124), (0.24927114, 0.5839874)], includedObstacleCornersIndices=set([]))§38335§0.29303786
366§0.7171814§0.62699074§Chromosome(steinerPoints=[(0.30191964, 0.7298918), (0.24927114, 0.5839874), (0.22082283, 0.8159725), (0.41111416, 0.7590753)], includedObstacleCornersIndices=set([]))§72904§0.68045527
867§0.6830929§0.62698585§Chromosome(steinerPoints=[(0.41111416, 0.7590753), (0.38157922, 0.75158215), (0.30191964, 0.7298918), (0.22082283, 0.8159725), (0.24927114, 0.5839874)], includedObstacleCornersIndices=set([]))§189237§2.1431336
