generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1.8396361§1.1206716§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§672§0.011227847
3§1.5738751§1.0576587§Chromosome(steinerPoints=[(0.45842308, 0.40440655)], includedObstacleCornersIndices=set([]))§1008§0.0129473
29§1.2841381§1.0523553§Chromosome(steinerPoints=[(0.49878597, 0.431897)], includedObstacleCornersIndices=set([]))§5432§0.034541897
306§1.199538§1.0520281§Chromosome(steinerPoints=[(0.47028545, 0.4177479)], includedObstacleCornersIndices=set([]))§59495§0.3198775
373§1.2056913§1.0516486§Chromosome(steinerPoints=[(0.47028545, 0.4177479), (0.47670847, 0.42560244)], includedObstacleCornersIndices=set([]))§74401§0.39861327
380§1.1694051§1.0509996§Chromosome(steinerPoints=[(0.47670847, 0.42560244)], includedObstacleCornersIndices=set([]))§76033§0.40656412
876§1.1854961§1.0508866§Chromosome(steinerPoints=[(0.48693293, 0.4153451)], includedObstacleCornersIndices=set([]))§191464§0.9693589
1004§1.1792228§1.0507307§Chromosome(steinerPoints=[(0.48693293, 0.4153451), (0.48253357, 0.41666794)], includedObstacleCornersIndices=set([]))§221241§1.1103681
1215§1.1996918§1.0504885§Chromosome(steinerPoints=[(0.48253357, 0.41666794), (0.4907099, 0.42127007)], includedObstacleCornersIndices=set([]))§270152§1.3288976
1716§1.1871345§1.0504804§Chromosome(steinerPoints=[(0.4907099, 0.42127007)], includedObstacleCornersIndices=set([]))§386757§1.8648124
