generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§3860001300§17.340338§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([25, 28, 38]))§673§0.5883025
2§240000030§16.378902§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([30, 37]))§840§0.59978426
11§339999970§16.376617§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([30, 29, 37]))§2359§0.65550494
14§260000020§16.151606§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§2869§0.6690803
16§300000000§16.13967§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([37]))§3208§0.67674744
18§200000020§16.136616§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([32]))§3549§0.6842165
25§260000020§16.132933§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([24, 32]))§4739§0.70855796
28§240000020§16.12468§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([37, 32]))§5254§0.7189723
32§240000020§16.120996§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([32, 24, 37]))§5939§0.7320114
39§200000020§16.113852§Chromosome(steinerPoints=[(5.0691175, 1.4726472)], includedObstacleCornersIndices=set([37, 32]))§7146§0.75742954
44§320000000§16.110167§Chromosome(steinerPoints=[(5.0691175, 1.4726472)], includedObstacleCornersIndices=set([37, 32, 24]))§8011§0.77685297
56§280000030§16.106276§Chromosome(steinerPoints=[(5.0691175, 1.4726472), (5.1859713, 7.9945383)], includedObstacleCornersIndices=set([37, 32, 24]))§10117§0.82879084
86§300000000§16.102379§Chromosome(steinerPoints=[(5.0691175, 1.4726472), (5.1859713, 7.9945383), (4.0136347, 7.054077)], includedObstacleCornersIndices=set([24, 37, 32]))§15459§0.991307
96§359999970§16.098854§Chromosome(steinerPoints=[(5.0691175, 1.4726472), (5.1859713, 7.9945383), (3.6104476, 6.5103855)], includedObstacleCornersIndices=set([24, 37, 32]))§17277§1.0534161
130§220000020§16.055925§Chromosome(steinerPoints=[(3.6104476, 6.5103855), (5.0691175, 1.4726472), (5.1859713, 7.9945383), (3.2045603, 2.4966156)], includedObstacleCornersIndices=set([37, 32, 24]))§23643§1.3046486
186§300000000§16.041231§Chromosome(steinerPoints=[(3.6104476, 6.5103855), (3.2045603, 2.4966156), (5.0691175, 1.4726472), (5.1859713, 7.9945383), (3.0132854, 2.157315)], includedObstacleCornersIndices=set([37, 32, 24]))§34427§1.781223
202§300000000§16.037292§Chromosome(steinerPoints=[(5.0691175, 1.4726472), (3.0132854, 2.157315), (3.6104476, 6.5103855), (3.2045603, 2.4966156), (5.1859713, 7.9945383), (5.174164, 8.173427), (6.32885, 1.4545512)], includedObstacleCornersIndices=set([24, 37, 32]))§37654§1.9461786
217§320000030§16.035177§Chromosome(steinerPoints=[(6.32885, 1.4545512), (3.2045603, 2.4966156), (3.0132854, 2.157315), (5.0691175, 1.4726472), (5.1859713, 7.9945383), (4.4087887, 1.7053807), (4.254992, 7.1606517)], includedObstacleCornersIndices=set([37, 32, 24]))§40648§2.1074662
231§380000030§16.03129§Chromosome(steinerPoints=[(3.2045603, 2.4966156), (3.0132854, 2.157315), (5.0691175, 1.4726472), (3.6104476, 6.5103855), (5.1859713, 7.9945383), (5.174164, 8.173427), (6.32885, 1.4545512), (3.813578, 6.7702675)], includedObstacleCornersIndices=set([37, 32, 24]))§43473§2.2849562
242§339999970§16.028698§Chromosome(steinerPoints=[(4.2379827, 7.147955), (6.32885, 1.4545512), (5.0691175, 1.4726472), (5.1859713, 7.9945383), (5.174164, 8.173427), (3.6104476, 6.5103855), (3.2045603, 2.4966156), (3.0132854, 2.157315), (5.488293, 7.8184233)], includedObstacleCornersIndices=set([37, 32]))§45762§2.44968
252§419999970§16.025362§Chromosome(steinerPoints=[(6.32885, 1.4545512), (5.0691175, 1.4726472), (5.1859713, 7.9945383), (5.174164, 8.173427), (5.488293, 7.8184233), (3.2045603, 2.4966156), (3.0132854, 2.157315), (3.6104476, 6.5103855), (3.813578, 6.7702675)], includedObstacleCornersIndices=set([37, 32]))§47852§2.585241
305§339999970§16.017153§Chromosome(steinerPoints=[(3.813578, 6.7702675), (5.488293, 7.8184233), (3.2045603, 2.4966156), (6.32885, 1.4545512), (5.0691175, 1.4726472), (5.1859713, 7.9945383), (5.174164, 8.173427), (2.9032123, 2.00747)], includedObstacleCornersIndices=set([32, 37, 24]))§59179§3.3775733
353§359999970§16.013645§Chromosome(steinerPoints=[(5.0691175, 1.4726472), (5.1859713, 7.9945383), (5.174164, 8.173427), (5.488293, 7.8184233), (6.32885, 1.4545512), (3.2045603, 2.4966156), (3.813578, 6.7702675), (3.7957573, 2.252704), (2.9032123, 2.00747), (3.3333242, 2.5437057)], includedObstacleCornersIndices=set([24, 32, 37]))§69821§4.189218
366§300000000§16.008917§Chromosome(steinerPoints=[(6.32885, 1.4545512), (5.488293, 7.8184233), (5.0691175, 1.4726472), (5.1859713, 7.9945383), (3.3333242, 2.5437057), (3.738556, 6.6619835), (3.813578, 6.7702675), (3.7957573, 2.252704), (2.9032123, 2.00747)], includedObstacleCornersIndices=set([24, 32, 37]))§72723§4.4354196
370§320000030§16.007265§Chromosome(steinerPoints=[(3.3333242, 2.5437057), (2.9032123, 2.00747), (6.32885, 1.4545512), (6.180936, 1.4438105), (5.488293, 7.8184233), (5.0691175, 1.4726472), (5.1859713, 7.9945383), (5.174164, 8.173427), (3.813578, 6.7702675), (4.803703, 1.511581)], includedObstacleCornersIndices=set([32, 37, 24]))§73643§4.5157757
376§300000000§16.00438§Chromosome(steinerPoints=[(3.3333242, 2.5437057), (3.738556, 6.6619835), (3.813578, 6.7702675), (4.803703, 1.511581), (2.9032123, 2.00747), (6.32885, 1.4545512), (6.180936, 1.4438105), (5.488293, 7.8184233), (5.0691175, 1.4726472), (5.1859713, 7.9945383)], includedObstacleCornersIndices=set([32, 24]))§75031§4.6384616
479§419999970§16.002567§Chromosome(steinerPoints=[(3.3333242, 2.5437057), (3.738556, 6.6619835), (3.813578, 6.7702675), (3.7957573, 2.252704), (3.3233583, 6.0045156), (2.9032123, 2.00747), (3.0107772, 3.3762395), (6.32885, 1.4545512), (6.180936, 1.4438105), (5.488293, 7.8184233), (5.0691175, 1.4726472), (5.1859713, 7.9945383), (5.1826835, 8.042074), (4.2630568, 7.187892), (4.803703, 1.511581)], includedObstacleCornersIndices=set([32, 24]))§99007§6.8953958
667§240000020§16.000895§Chromosome(steinerPoints=[(2.9032123, 2.00747), (3.0107772, 3.3762395), (2.6516998, 1.8940187), (6.32885, 1.4545512), (3.738556, 6.6619835), (3.813578, 6.7702675), (3.7957573, 2.252704), (3.3333242, 2.5437057), (3.2503712, 2.4472845), (3.9895391, 2.0775843), (5.488293, 7.8184233), (5.0691175, 1.4726472), (5.1859713, 7.9945383), (5.1826835, 8.042074), (4.803703, 1.511581), (4.2630568, 7.187892), (4.894848, 8.930912), (6.180936, 1.4438105), (5.254444, 7.9555917), (3.3313584, 2.5193012)], includedObstacleCornersIndices=set([32, 24]))§142671§12.474903
715§340000000§15.999288§Chromosome(steinerPoints=[(6.32885, 1.4545512), (6.180936, 1.4438105), (5.488293, 7.8184233), (3.738556, 6.6619835), (3.813578, 6.7702675), (3.7957573, 2.252704), (3.9895391, 2.0775843), (4.2630568, 7.187892), (3.2503712, 2.4472845), (2.9032123, 2.00747), (3.0107772, 3.3762395), (2.6516998, 1.8940187), (3.3313584, 2.5193012), (5.0691175, 1.4726472), (5.1859713, 7.9945383), (5.1826835, 8.042074), (4.894848, 8.930912), (5.254444, 7.9555917), (4.803703, 1.511581), (3.6111593, 2.419393)], includedObstacleCornersIndices=set([32, 24]))§153845§14.183648
846§260000020§15.997684§Chromosome(steinerPoints=[(2.6516998, 1.8940187), (6.180936, 1.4438105), (6.32885, 1.4545512), (4.894848, 8.930912), (4.803703, 1.511581), (5.488293, 7.8184233), (5.0691175, 1.4726472), (5.1859713, 7.9945383), (5.1826835, 8.042074), (3.3598495, 6.0619736), (5.4207935, 7.864895), (3.6111593, 2.419393), (2.9032123, 2.00747), (3.0107772, 3.3762395), (3.3313584, 2.5193012), (3.2503712, 2.4472845), (3.5294461, 6.352295), (3.1108003, 2.2751305), (3.738556, 6.6619835), (3.813578, 6.7702675), (3.7957573, 2.252704), (3.9895391, 2.0775843), (4.2630568, 7.187892), (3.2755983, 2.6780689)], includedObstacleCornersIndices=set([24, 32]))§184264§19.181078
971§40000016§15.995861§Chromosome(steinerPoints=[(6.180936, 1.4438105), (6.32885, 1.4545512), (5.488293, 7.8184233), (5.1859713, 7.9945383), (5.1826835, 8.042074), (5.4207935, 7.864895), (3.9895391, 2.0775843), (3.738556, 6.6619835), (3.813578, 6.7702675), (4.2630568, 7.187892), (4.803703, 1.511581), (4.9244933, 1.4822714), (4.894848, 8.930912), (5.0691175, 1.4726472), (2.9032123, 2.00747), (3.0107772, 3.3762395), (3.3313584, 2.5193012), (3.2503712, 2.4472845), (3.1108003, 2.2751305), (3.6111593, 2.419393), (2.6516998, 1.8940187), (3.4614851, 6.253285), (3.271321, 2.7337692)], includedObstacleCornersIndices=set([24, 32]))§213333§24.446114
1020§160000020§15.992218§Chromosome(steinerPoints=[(3.7962186, 6.7500916), (6.180936, 1.4438105), (6.32885, 1.4545512), (3.9895391, 2.0775843), (3.738556, 6.6619835), (5.4587617, 7.845331), (4.2630568, 7.187892), (4.803703, 1.511581), (3.6111593, 2.419393), (5.1859713, 7.9945383), (5.1826835, 8.042074), (4.9244933, 1.4822714), (4.894848, 8.930912), (3.4614851, 6.253285), (3.271321, 2.7337692), (3.0107772, 3.3762395), (3.3313584, 2.5193012), (3.2503712, 2.4472845), (5.083891, 1.4604796), (2.8840663, 2.0043747)], includedObstacleCornersIndices=set([24, 32]))§224713§26.295221
1078§160000020§15.990551§Chromosome(steinerPoints=[(2.8840663, 2.0043747), (3.0107772, 3.3762395), (3.3313584, 2.5193012), (3.2503712, 2.4472845), (3.2842197, 2.7052972), (3.7962186, 6.7500916), (3.9895391, 2.0775843), (4.2630568, 7.187892), (3.6111593, 2.419393), (3.4614851, 6.253285), (4.9244933, 1.4822714), (4.894848, 8.930912), (3.164084, 2.3700953), (5.1859713, 7.9945383), (5.1826835, 8.042074), (5.1329994, 8.222982), (5.0691175, 1.4726472), (6.180936, 1.4438105), (6.32885, 1.4545512), (5.483907, 7.83191)], includedObstacleCornersIndices=set([32, 24]))§238204§28.215202
1137§300000000§15.988945§Chromosome(steinerPoints=[(6.210914, 1.4547172), (6.357223, 1.4714745), (3.83119, 6.760479), (4.2630568, 7.187892), (4.9244933, 1.4822714), (4.894848, 8.930912), (3.3313584, 2.5193012), (3.4614851, 6.253285), (3.2842197, 2.7052972), (2.8840663, 2.0043747), (3.164084, 2.3700953), (3.6111593, 2.419393), (3.2303748, 2.4361348), (5.1859713, 7.9945383), (5.1826835, 8.042074), (5.1329994, 8.222982), (5.0691175, 1.4726472), (5.483907, 7.83191), (3.0107772, 3.3762395), (3.9727387, 2.1075654)], includedObstacleCornersIndices=set([24, 32]))§251970§30.1347
1241§200000020§15.987279§Chromosome(steinerPoints=[(2.8999984, 2.033737), (3.4397979, 6.203219), (3.3313584, 2.5193012), (3.2842197, 2.7052972), (3.164084, 2.3700953), (3.2303748, 2.4361348), (3.0107772, 3.3762395), (3.6111593, 2.419393), (3.83119, 6.760479), (3.9573486, 2.1144443), (4.241447, 7.1548905), (5.0691175, 1.4726472), (5.1859713, 7.9945383), (5.1826835, 8.042074), (5.159586, 8.156226), (4.9244933, 1.4822714), (4.894848, 8.930912), (6.357223, 1.4714745), (6.210914, 1.4547172), (5.483907, 7.83191)], includedObstacleCornersIndices=set([32, 24]))§276109§33.626316
1385§160000020§15.985372§Chromosome(steinerPoints=[(2.992897, 3.4152565), (3.4397979, 6.203219), (3.3313584, 2.5193012), (3.2842197, 2.7052972), (3.164084, 2.3700953), (3.2070649, 2.4236388), (3.83119, 6.760479), (2.8999984, 2.033737), (3.6005087, 2.4339538), (4.241447, 7.1548905), (4.803703, 1.511581), (4.9244933, 1.4822714), (4.9124575, 8.903457), (5.0691175, 1.4726472), (6.210914, 1.4547172), (5.483907, 7.83191), (6.357223, 1.4714745), (3.9781845, 2.101146), (5.1754394, 7.9773784), (5.1653805, 8.117945)], includedObstacleCornersIndices=set([32, 24]))§309557§38.18906
1847§180000020§15.983739§Chromosome(steinerPoints=[(6.3447204, 1.4731979), (6.210914, 1.4547172), (2.8999984, 2.033737), (4.1265025, 1.9765614), (3.2070649, 2.4236388), (3.3152156, 2.5317156), (3.4397979, 6.203219), (3.2842197, 2.7052972), (3.1671975, 2.379158), (4.9244933, 1.4822714), (4.899031, 8.917977), (4.803703, 1.511581), (5.483907, 7.83191), (5.1754394, 7.9773784), (5.1653805, 8.117945), (5.0885663, 1.4625733), (3.633221, 2.4208293), (3.83119, 6.760479), (4.1738567, 7.0992746), (2.9609582, 3.4982586)], includedObstacleCornersIndices=set([32, 24]))§416944§52.853477
