generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1.8073359§1.1206716§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§675§0.005537715
6§1.3745307§1.1194983§Chromosome(steinerPoints=[(0.50747955, 0.35452932)], includedObstacleCornersIndices=set([]))§1517§0.008642096
13§1.3336389§1.0747564§Chromosome(steinerPoints=[(0.49156994, 0.47449368)], includedObstacleCornersIndices=set([]))§2696§0.012979351
22§1.3497442§1.0665185§Chromosome(steinerPoints=[(0.51761615, 0.3964542)], includedObstacleCornersIndices=set([]))§4240§0.019386876
27§1.3303293§1.05422§Chromosome(steinerPoints=[(0.48117083, 0.44129723)], includedObstacleCornersIndices=set([]))§5105§0.024132708
47§1.2581296§1.0502319§Chromosome(steinerPoints=[(0.48664862, 0.4232388)], includedObstacleCornersIndices=set([]))§8579§0.04524283
548§1.1878327§1.0502319§Chromosome(steinerPoints=[(0.48664862, 0.4232388)], includedObstacleCornersIndices=set([]))§115379§0.59314275
