generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1.9257216§1.1206716§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§669§0.013027619
7§1.3682451§1.0864414§Chromosome(steinerPoints=[(0.46073604, 0.4768083)], includedObstacleCornersIndices=set([]))§1675§0.017916014
25§1.287335§1.0624888§Chromosome(steinerPoints=[(0.49838102, 0.3938968)], includedObstacleCornersIndices=set([]))§4744§0.03095757
26§1.3096619§1.0572821§Chromosome(steinerPoints=[(0.47698218, 0.44661355)], includedObstacleCornersIndices=set([]))§4910§0.03203179
48§1.2725352§1.0505793§Chromosome(steinerPoints=[(0.49158004, 0.42089754)], includedObstacleCornersIndices=set([]))§8735§0.05589248
549§1.1825907§1.0505793§Chromosome(steinerPoints=[(0.49158004, 0.42089754)], includedObstacleCornersIndices=set([]))§115192§0.60081553
