generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1479999500§1.8476181§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([6, 7, 5, 8, 1, 0]))§675§0.033942368
2§819999700§1.7652574§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([6, 0, 7, 5]))§845§0.03650432
183§1179999500§1.7650117§Chromosome(steinerPoints=[(0.6111218, 0.35124698)], includedObstacleCornersIndices=set([0, 5, 7, 6]))§34030§0.42983288
684§1259999500§1.7650117§Chromosome(steinerPoints=[(0.6111218, 0.35124698)], includedObstacleCornersIndices=set([0, 5, 6, 7]))§146881§2.240888
