generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1000000000§3.2284722§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([15, 18, 17, 0, 19, 23, 4, 24, 10, 14, 12, 11, 8, 27]))§673§0.3842774
4§180000020§3.1431642§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([17, 16, 18, 21, 19, 20, 9, 25, 26, 27, 14, 11, 5, 6, 4]))§1177§0.43929562
5§80000010§3.0728838§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([16, 3, 2, 18, 23, 0, 15, 1, 9, 4, 25, 26, 17, 13, 24, 14]))§1345§0.45626387
7§160000020§3.0457993§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([15, 24, 11, 26, 25, 9, 14, 4, 2, 17, 1, 18, 0]))§1683§0.4891267
10§160000020§3.0348601§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([17, 1, 20, 18, 2, 3, 7, 10, 19, 0, 8, 4, 24, 12, 11, 27, 14]))§2194§0.5373718
13§220000020§2.9827147§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([17, 3, 2, 4, 0, 15, 1, 18, 24, 11, 14, 25, 9]))§2704§0.58368653
16§200000020§2.9297662§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([9, 25, 26, 27, 4, 14, 17, 18, 20, 5, 6]))§3209§0.62710476
20§180000020§2.9229605§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([17, 18, 20, 6, 4, 24, 11, 14, 25, 5]))§3896§0.6845091
21§180000020§2.9041288§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([14, 27, 6, 24, 10, 9, 4, 17, 18, 20, 5]))§4066§0.69812024
22§180000020§2.8946352§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([4, 24, 11, 14, 25, 9, 18, 2, 1, 0, 20, 3, 17]))§4237§0.71174484
23§200000020§2.8753717§Chromosome(steinerPoints=[(0.44486457, 0.24782212)], includedObstacleCornersIndices=set([4, 17, 18, 20, 5, 6, 9, 14, 27, 13, 24]))§4410§0.72568095
24§160000020§2.852907§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([17, 18, 20, 5, 6, 4, 9, 25, 14, 13, 24]))§4581§0.73896646
28§180000020§2.8404431§Chromosome(steinerPoints=[(0.44486457, 0.24782212)], includedObstacleCornersIndices=set([17, 18, 24, 20, 5, 6, 9, 14, 27, 13]))§5271§0.7900185
34§300000000§2.8179786§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([17, 18, 20, 6, 14, 13, 24, 25, 5, 9]))§6298§0.860152
53§339999970§2.8166113§Chromosome(steinerPoints=[(0.66950476, 0.44176883)], includedObstacleCornersIndices=set([14, 17, 18, 20, 6, 9, 25, 24, 5, 13]))§9624§1.0701666
61§539999800§2.8163238§Chromosome(steinerPoints=[(0.44609493, 0.14007829)], includedObstacleCornersIndices=set([5, 9, 25, 24, 14, 13, 17, 18, 20, 6]))§11037§1.1563349
67§519999900§2.8156106§Chromosome(steinerPoints=[(0.66950476, 0.44176883)], includedObstacleCornersIndices=set([17, 18, 6, 20, 5, 14, 9, 25, 13]))§12107§1.2215714
69§300000000§2.81163§Chromosome(steinerPoints=[(0.62130386, 0.5001283)], includedObstacleCornersIndices=set([18, 17, 6, 20, 5, 9, 25, 14, 13, 24]))§12473§1.2454448
79§420000030§2.8017378§Chromosome(steinerPoints=[(0.66950476, 0.44176883), (0.49953556, 0.4955666)], includedObstacleCornersIndices=set([6, 24, 9, 14, 13, 18, 17, 5, 20]))§14273§1.3704712
81§379999940§2.800737§Chromosome(steinerPoints=[(0.66950476, 0.44176883), (0.49953556, 0.4955666)], includedObstacleCornersIndices=set([20, 14, 13, 6, 9, 18, 17, 5]))§14631§1.3963983
