generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2.272561§2.262741§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§672§0.032381404
13§2.2632804§2.2559936§Chromosome(steinerPoints=[(0.5048779, 0.52262026)], includedObstacleCornersIndices=set([]))§2702§0.08885064
85§2.2683306§2.253224§Chromosome(steinerPoints=[(0.49946752, 0.54646415)], includedObstacleCornersIndices=set([]))§15346§0.44986203
104§2.2909222§2.2515914§Chromosome(steinerPoints=[(0.5085516, 0.47181556), (0.48464775, 0.5640296)], includedObstacleCornersIndices=set([]))§18795§0.5688066
110§2.3053038§2.248488§Chromosome(steinerPoints=[(0.46808478, 0.48831174), (0.5244819, 0.4989805)], includedObstacleCornersIndices=set([]))§19893§0.6150471
177§2.2919426§2.2477906§Chromosome(steinerPoints=[(0.46808478, 0.48831174), (0.5244819, 0.4989805), (0.5516684, 0.50458574)], includedObstacleCornersIndices=set([]))§32728§1.2268405
178§2.2836857§2.2474005§Chromosome(steinerPoints=[(0.46808478, 0.48831174), (0.5516684, 0.50458574)], includedObstacleCornersIndices=set([]))§32928§1.2358419
197§2.2843413§2.2467396§Chromosome(steinerPoints=[(0.5516684, 0.50458574), (0.46808478, 0.48831174), (0.45731646, 0.48754746)], includedObstacleCornersIndices=set([]))§36667§1.4059175
203§2.2790492§2.246419§Chromosome(steinerPoints=[(0.5516684, 0.50458574), (0.45731646, 0.48754746)], includedObstacleCornersIndices=set([]))§37874§1.4609139
216§2.2804897§2.245566§Chromosome(steinerPoints=[(0.5516684, 0.50458574), (0.47206676, 0.4993043)], includedObstacleCornersIndices=set([]))§40504§1.5810119
241§2.2790403§2.2446895§Chromosome(steinerPoints=[(0.5516684, 0.50458574), (0.47206676, 0.4993043), (0.4505593, 0.5004854)], includedObstacleCornersIndices=set([]))§45622§1.8166754
573§2.266533§2.243958§Chromosome(steinerPoints=[(0.5516684, 0.50458574), (0.45669237, 0.5039376), (0.5479118, 0.49902263)], includedObstacleCornersIndices=set([]))§120684§5.3035297
1074§2.252296§2.24381§Chromosome(steinerPoints=[(0.45669237, 0.5039376), (0.5464242, 0.5009189)], includedObstacleCornersIndices=set([]))§237195§10.648174
