generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1800000300§6.3807163§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([5, 6, 7]))§674§0.03377524
2§999999500§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 5, 4, 1]))§841§0.036053553
503§1079999500§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([1, 5, 4, 0]))§104448§0.90028536
