generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1.9568391§1.8865021§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§670§0.015732834
5§1.9080164§1.8818989§Chromosome(steinerPoints=[(0.8780974, 0.7732695)], includedObstacleCornersIndices=set([]))§1341§0.021914024
506§1.8989074§1.8818989§Chromosome(steinerPoints=[(0.8780974, 0.7732695)], includedObstacleCornersIndices=set([]))§105168§1.2124383
