generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1.9578419§1.8865021§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§672§0.020571245
2§1.9283677§1.8818989§Chromosome(steinerPoints=[(0.8780974, 0.7732695)], includedObstacleCornersIndices=set([]))§839§0.022173049
503§1.897865§1.8818989§Chromosome(steinerPoints=[(0.8780974, 0.7732695)], includedObstacleCornersIndices=set([]))§104757§1.215039
